gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
OR10G9	107524	830	-5	123134	39382	0	6	0	0	50	17	3202354	1.529149e-02	1
IGF2BP1	820571	174	28	244412	67048	0	4	0	0	50	5	3108046	1.540619e-02	1
CRYGB	321897	440	5	75400	18560	0	2	0	0	50	7	2751636	1.564798e-02	1
STK11	2214581	234	29	182468	50344	0	3	0	0	50	10	3337552	1.566726e-02	1
HIST1H2BG	390169	544	57	51098	15718	0	2	0	0	50	10	2258520	1.594313e-02	1
MAP2K3	415581	517	-43	149698	39614	0	4	1	0	50	11	3283554	1.601895e-02	1
C6	252021	888	-14	399678	100224	0	10	2	0	31	12	1790866	1.607496e-02	1
SIRT2	1989663	219	30	169302	44718	0	4	0	0	50	4	3558764	1.619282e-02	1
ZNF679	NaN	NaN	NaN	175972	42224	0	4	0	0	50	31	6501336	1.619339e-02	1
RXRG	291474	623	-10	200854	57188	0	4	0	0	50	10	3406746	1.624838e-02	1
PMCH	229712	552	12	70528	18212	0	2	0	0	50	14	3720758	1.628730e-02	1
NXF5	272029	NaN	23	161124	39150	0	3	1	0	38	7	2865664	1.629124e-02	1
OR8B8	171093	824	-10	125860	36830	0	3	1	0	50	20	3490556	1.650321e-02	1
OR2AK2	NaN	NaN	NaN	133574	41644	0	3	1	0	31	10	2887646	1.748860e-02	1
C8orf37	313002	375	45	90538	21866	0	2	0	0	50	7	3014434	1.762796e-02	1
CRYGS	676664	501	35	76444	18734	0	2	0	0	50	15	4095438	1.823068e-02	1
OR2T1	104321	936	-39	148770	44196	0	4	0	0	50	21	2971514	1.842109e-02	1
FTO	215906	604	-13	213904	55796	0	5	0	0	50	11	2927376	1.851315e-02	1
ARHGAP31	265987	585	23	586264	175682	0	8	1	0	50	9	3948292	1.858421e-02	1
COMMD7	661510	132	45	89088	21402	0	3	0	0	50	8	3096214	1.908140e-02	1
PGM2L1	629890	143	29	264886	69368	0	4	0	0	50	2	2707788	1.913683e-02	1
PYCARD	1203752	478	17	78996	25056	0	2	0	0	50	7	2630822	1.915407e-02	1
KRTAP5-11	586193	626	50	65134	17168	0	2	0	0	50	11	2794382	1.964935e-02	1
MRGPRX3	631291	436	20	127832	41470	0	2	0	0	50	7	4041614	1.975473e-02	1
RASGRP3	124045	680	9	295104	76038	0	4	1	0	50	15	4266074	1.975511e-02	1
EXOSC9	324357	506	29	195576	51330	0	3	0	0	50	8	3533302	2.016293e-02	1
ATP6V1C1	470948	438	47	167736	40542	0	3	0	0	50	13	3979670	2.037047e-02	1
VWA3B	361135	716	28	549434	145348	0	5	0	0	50	6	3689496	2.048327e-02	1
DCAF4L2	26672	994	-27	157934	49126	0	8	2	0	36	26	2153714	2.063169e-02	1
ZFHX4	72333	731	8	1483118	411916	0	29	6	0	50	30	4398662	2.064534e-02	1
BEND6	428244	271	23	120756	29580	0	4	0	0	50	9	3571988	2.073031e-02	1
PNLIPRP3	127796	855	-19	201550	50750	0	8	0	0	50	17	3785022	2.085873e-02	1
ATP1A2	835734	386	23	424038	124236	0	5	0	0	50	7	4427314	2.094417e-02	1
ZEB1	323935	635	16	472062	123192	0	5	0	0	50	10	4023692	2.150371e-02	1
MAGEA1	607570	NaN	18	124294	38222	0	3	0	0	50	5	3282336	2.151019e-02	1
KLK4	581408	606	29	105792	30102	0	2	0	0	50	6	2984912	2.211674e-02	1
PRODH2	1105613	321	38	217384	70586	0	4	0	0	50	6	3144296	2.230301e-02	1
C16orf62	340032	578	15	415628	108808	0	3	0	0	50	14	4732742	2.296444e-02	1
TAS2R41	371260	379	1	123656	37120	0	3	0	0	50	9	3305188	2.316533e-02	1
SLC41A2	759566	294	30	239366	66526	0	2	0	0	50	7	3669776	2.317855e-02	1
DNAH8	229301	845	25	1916784	489462	0	19	2	0	42	6	3110134	2.328894e-02	1
IFNA16	193208	498	-3	78242	21286	0	3	0	0	50	11	2989146	2.333216e-02	1
CUL3	255624	463	20	329324	82534	0	6	0	0	50	15	4096772	2.369769e-02	1
ELAVL1	967479	369	19	136590	37584	0	2	0	0	50	5	3323574	2.376424e-02	1
DDX43	723493	232	21	277646	72268	0	3	0	0	50	4	3334246	2.377703e-02	1
MPP6	254420	405	18	230202	59856	0	3	0	0	50	10	3480638	2.512377e-02	1
CLEC6A	321790	564	13	92046	21054	0	3	0	0	50	12	3536028	2.525918e-02	1
TPTE	30271	1268	-81	241570	61190	0	12	0	0	13	9	834098	2.568465e-02	1
CDH12	127633	1075	-20	329788	92162	0	10	2	0	50	26	3351530	2.577800e-02	1
SLC25A11	1416161	231	30	129340	39962	0	2	0	0	50	5	3043550	2.616635e-02	1
LGI3	587455	196	50	223648	67802	0	3	1	0	50	6	3272650	2.621439e-02	1
EXOSC4	2720766	211	27	96628	33524	0	3	0	0	50	14	4295538	2.624226e-02	1
ANAPC13	254024	188	16	32828	7714	0	1	0	0	50	7	2924998	2.660630e-02	1
TMEM173	781521	204	35	153236	48952	0	2	0	0	50	2	2599792	2.675378e-02	1
FAM135B	6187	989	-37	581218	166460	0	18	1	0	4	2	630402	2.680986e-02	1
GPR141	103891	630	6	124584	35148	0	3	0	0	50	19	3630452	2.688831e-02	1
OR5H1	200002	811	-15	126788	36772	0	4	1	0	40	21	2699552	2.688957e-02	1
OR4N2	275024	858	-57	122902	37700	0	6	1	0	50	26	2969194	2.690749e-02	1
NMS	226558	642	9	70470	16878	0	2	0	0	50	19	3780846	2.694048e-02	1
SAGE1	246199	NaN	26	383206	102080	0	4	0	0	50	12	4135806	2.704611e-02	1
DNAJC14	1909014	256	38	286520	84622	0	4	0	0	50	6	3794186	2.711938e-02	1
NEUROG3	824126	519	31	83056	29696	0	3	0	0	50	13	3493630	2.754317e-02	1
FBXO22	550701	339	47	172318	48836	0	3	0	0	50	5	3826724	2.854746e-02	1
CXCR3	947642	NaN	52	163328	57304	0	2	0	0	50	4	3369742	2.869702e-02	1
NANOG	175700	467	16	130442	31378	0	2	0	0	50	7	3448448	2.873671e-02	1
CWH43	246165	439	49	295452	80388	0	4	1	0	50	11	4196938	2.906258e-02	1
ASCL4	119393	805	22	67628	23200	0	2	0	0	50	18	3487192	2.920955e-02	1
OR10A4	427462	681	8	126092	39556	0	4	1	0	50	19	2969716	2.944049e-02	1
A4GNT	190056	464	9	140650	38744	0	3	0	0	50	7	3636890	2.965187e-02	1
GCA	70731	856	-5	95642	23026	0	4	0	0	50	22	3456626	2.975276e-02	1
SNRPF	426671	400	5	38280	9222	0	1	0	0	50	8	3250146	2.982615e-02	1
FLI1	187976	647	20	192328	49706	0	3	0	0	50	7	2766252	2.986244e-02	1
KHK	1214097	238	50	152018	43732	0	3	0	0	50	6	3705330	2.993159e-02	1
HLA-A	983517	596	36	152482	43790	0	3	0	0	50	11	2989320	2.994415e-02	1
UGT3A2	173490	614	-9	218370	59334	0	4	0	0	50	13	4151350	3.036543e-02	1
ARHGAP6	65396	NaN	34	413308	124874	0	5	0	0	50	10	3418926	3.082764e-02	1
CCDC63	888826	474	46	242324	60088	0	4	1	0	50	12	3743610	3.121685e-02	1
ECE1	744763	196	27	346318	94598	0	3	0	0	50	10	4115216	3.131487e-02	1
QSER1	408746	172	23	711660	202188	0	7	0	0	50	10	4092654	3.143934e-02	1
CCNYL1	330620	210	26	155034	39150	0	2	0	0	50	7	3873356	3.156930e-02	1
SMPD4	349797	593	22	359658	106140	0	4	0	0	50	10	3603656	3.160533e-02	1
KLF7	207002	598	20	124294	35960	0	2	0	0	50	6	2934974	3.174369e-02	1
PRAMEF1	141239	571	18	194532	55854	0	4	0	0	50	9	2867578	3.177671e-02	1
OR2S2	853975	298	55	127600	40136	0	4	0	0	50	9	2799834	3.189525e-02	1
COL19A1	93520	947	15	488650	142796	0	8	1	0	50	21	3217840	3.217993e-02	1
RNASEK	1696302	360	24	41934	11136	0	1	0	0	50	5	2648512	3.226423e-02	1
SLC17A3	313920	673	30	209032	60494	0	3	0	0	40	6	2820598	3.234592e-02	1
TMEM165	235221	348	8	131718	41412	0	2	0	0	50	6	2992742	3.259036e-02	1
FCER1G	728669	234	37	37990	10556	0	1	0	0	39	6	2590222	3.280132e-02	1
RGS9BP	380440	455	-45	89494	33698	0	2	0	0	50	12	3229382	3.305296e-02	1
XYLT2	1335838	196	24	349450	109562	0	3	0	0	50	4	3740652	3.343529e-02	1
GCG	95439	554	7	79054	18908	0	2	0	0	50	16	3293298	3.345870e-02	1
KLHL32	123818	1288	-2	259492	71630	0	4	1	0	50	15	3176602	3.349732e-02	1
PGK2	67972	1246	2	168606	49590	0	4	1	0	50	18	3220682	3.362587e-02	1
FAM20B	352872	244	1	169766	48430	0	2	0	0	50	7	4112780	3.389637e-02	1
NDUFA12	369755	560	25	62582	16066	0	1	0	0	50	6	4114462	3.407681e-02	1
SLC15A1	334185	409	41	306124	79634	0	2	0	0	50	8	4318506	3.411129e-02	1
RPL6	715909	201	31	120872	34162	0	3	0	0	50	7	2861430	3.424887e-02	1
ZNF331	605686	808	-54	197432	46864	0	5	1	0	50	24	2778374	3.436297e-02	1
NXPH2	69057	672	-4	108402	30624	0	4	0	0	50	14	3507434	3.437924e-02	1
LEFTY2	923085	239	20	146160	47502	0	2	0	0	38	3	2519578	3.446867e-02	1
RCVRN	63518	366	-41	84970	21344	0	2	0	0	50	15	3294284	3.452884e-02	1
ATP6V1B1	504483	623	25	216340	61364	0	2	0	0	50	9	3395146	3.474522e-02	1
NPS	470657	703	-30	38396	10672	0	2	0	0	50	9	3039258	3.492122e-02	1
ACVR2A	90992	951	-2	219298	55970	0	3	0	0	50	13	3338480	3.495306e-02	1
P2RY14	130485	632	8	139200	38454	0	3	1	0	50	19	3475534	3.499258e-02	1
GJB5	548013	580	19	110954	32770	0	2	0	0	50	8	2863750	3.500571e-02	1
DCAF12L1	11311	NaN	-16	183164	59740	0	5	0	0	50	42	4068874	3.584922e-02	1
SULT1C4	361799	483	-2	132240	30102	0	2	0	0	50	10	3773422	3.602185e-02	1
CDC42SE2	313468	414	34	37584	8874	0	1	0	0	50	9	2976618	3.602821e-02	1
MYH15	257473	874	3	835838	209380	0	10	1	0	46	9	3208096	3.639670e-02	1
NEURL2	725555	209	59	111650	38338	0	2	0	0	50	9	3155432	3.641104e-02	1
NXPH1	85530	915	-11	112578	30102	0	2	0	0	50	20	5095300	3.648230e-02	1
PHOX2B	308280	376	22	124932	40890	0	3	0	0	50	10	3793316	3.655674e-02	1
CNIH4	628752	256	18	61538	14674	0	2	0	0	50	4	3141222	3.669640e-02	1
MARCH4	590758	342	27	166982	49648	0	2	0	0	50	5	3382096	3.672155e-02	1
ADAM22	178742	722	17	409190	102022	0	5	0	0	50	6	3160014	3.686387e-02	1
CLDN25	148947	534	4	90828	29232	0	2	0	0	50	11	2832314	3.710493e-02	1
RGS5	194452	794	-8	78880	18908	0	2	0	0	50	17	3211866	3.729090e-02	1
PPDPF	1262904	298	54	48198	13920	0	2	0	0	50	6	3064198	3.751151e-02	1
DDX3X	627364	NaN	54	284664	72558	0	3	0	0	50	11	3433078	3.783271e-02	1
SLC6A19	657890	541	24	262856	76618	0	3	1	0	36	11	3048654	3.786422e-02	1
PRR23B	336415	520	11	101674	37178	0	3	0	0	50	16	3225960	3.812563e-02	1
MED21	408250	320	26	61248	16878	0	1	0	0	50	5	3423682	3.813670e-02	1
MARCH6	627256	164	17	384598	108344	0	4	1	0	50	11	3325488	3.823274e-02	1
OTOF	787643	408	41	885370	246152	0	9	0	0	26	1	1881984	3.836142e-02	1
IRS1	146164	493	-3	492594	157296	0	6	0	0	50	12	3626914	3.872807e-02	1
COX7A2	394127	423	-3	49126	13862	0	1	0	0	50	8	3402280	3.886572e-02	1
HEXA	1126741	366	48	224634	61074	0	3	1	0	50	8	3207284	3.890192e-02	1
ATP1B4	484939	NaN	23	154280	37816	0	2	0	0	50	4	2670958	3.895592e-02	1
FCRL1	113186	829	26	190936	51968	0	4	0	0	50	12	3197598	3.896710e-02	1
PRIM1	2637730	154	47	186702	41760	0	2	0	0	50	8	4403766	3.913164e-02	1
ITM2A	13949	NaN	29	110664	30624	0	2	0	0	50	16	4222110	3.925234e-02	1
PHLDA3	842013	209	26	50460	17052	0	1	0	0	50	5	2796702	3.925648e-02	1
GPR78	96216	471	31	139432	51968	0	4	0	0	50	12	3547686	3.929205e-02	1
COL5A1	229207	421	31	764266	240932	0	7	0	0	23	2	2045602	3.944931e-02	1
OR4Q3	275024	858	-57	126150	37410	0	5	0	0	50	26	2969194	3.956364e-02	1
HIST1H3D	398813	636	53	54288	18270	0	3	0	0	50	10	2221922	4.003116e-02	1
ZNF28	557083	1008	-39	280894	67454	0	6	0	0	50	20	3597972	4.006275e-02	1
RNF126	1832767	218	10	129688	38744	0	2	0	0	29	6	2770428	4.039434e-02	1
PSENEN	1151198	321	30	43558	11774	0	1	0	0	50	9	3111874	4.043201e-02	1
SPCS1	1217701	272	47	69948	21228	0	1	0	0	50	8	4752056	4.056171e-02	1
KRT6A	1194800	389	29	231246	69252	0	3	0	0	50	7	2951504	4.077422e-02	1
BCAP29	512690	753	26	153294	34452	0	2	0	0	50	8	3431396	4.093606e-02	1
RBM5	965735	196	35	353104	89552	0	4	0	0	50	8	3640196	4.105869e-02	1
OR51A4	65798	1006	-15	125280	38280	0	3	1	0	42	10	2485300	4.109966e-02	1
B3GNT3	1216364	212	37	147958	48140	0	3	0	0	50	9	2865026	4.166538e-02	1
HIGD1B	1101543	172	28	42340	11948	0	1	0	0	50	8	2817756	4.171680e-02	1
C2orf76	193588	467	26	56492	13630	0	1	0	0	50	5	2853542	4.178872e-02	1
SPATA4	134663	504	-4	128528	34684	0	2	0	0	50	12	3768666	4.197726e-02	1
TCEB3B	120831	639	34	302412	91176	0	5	0	0	50	5	3282510	4.199312e-02	1
PDE11A	320610	618	18	418064	112288	0	5	0	0	50	10	4105124	4.199914e-02	1
C19orf54	1127178	201	27	140360	46864	0	2	1	0	50	7	3201774	4.202649e-02	1
OR14I1	141426	710	-10	124004	38860	0	2	0	0	50	18	4888588	4.219745e-02	1
FXYD4	388267	387	-2	41818	10034	0	1	0	0	50	10	3093198	4.221133e-02	1
SPATA8	93099	986	-46	44196	12528	0	2	0	0	50	31	2874248	4.230857e-02	1
SYT16	215309	626	-6	268482	72210	0	4	0	0	50	11	4127280	4.234847e-02	1
MRPL51	2764720	179	42	54462	14268	0	1	0	0	50	11	4225590	4.238401e-02	1
DDB2	1274054	198	38	180206	49474	0	2	0	0	50	4	2998252	4.258823e-02	1
NCKAP1	350474	419	10	490564	123482	0	7	2	0	46	15	3290456	4.290302e-02	1
CHEK1	477807	595	18	207234	50808	0	2	0	0	50	10	3057296	4.295309e-02	1
LY6G6C	2517236	193	20	51968	15544	0	2	0	0	50	13	4474642	4.296913e-02	1
XKR8	891090	272	20	154396	54056	0	2	0	0	50	7	3392246	4.297630e-02	1
MUC4	920866	365	49	492478	137924	0	5	1	0	50	13	3980366	4.309492e-02	1
FIGN	20376	586	-11	304674	92742	0	5	0	0	50	22	3860016	4.310458e-02	1
FUT9	76115	1328	-21	149988	38628	0	5	0	0	42	27	2779244	4.318340e-02	1
SLC7A14	372782	466	24	312562	94598	0	2	1	0	22	1	2005060	4.365325e-02	1
PNMA3	265470	NaN	16	184788	57420	0	3	0	0	50	12	4115564	4.366165e-02	1
DDHD1	306643	448	20	378044	104980	0	5	0	0	50	11	4000550	4.433467e-02	1
AKIRIN1	681587	318	30	80910	22620	0	1	0	0	50	4	3681260	4.435223e-02	1
PLOD2	118043	471	-12	327410	82012	0	5	1	0	42	15	3719830	4.439365e-02	1
CPT1A	619314	303	45	333268	90248	0	3	0	0	50	5	3487482	4.513960e-02	1
PDE6H	380047	476	8	36540	9396	0	2	0	0	50	15	3353850	4.566333e-02	1
ARHGEF2	1880483	213	32	407102	122728	0	3	0	0	50	7	3878112	4.603386e-02	1
ARHGAP17	272834	185	22	368126	105850	0	6	0	0	50	12	3665484	4.604973e-02	1
CYB5B	1161561	NaN	46	65076	16878	0	1	0	0	50	6	3377456	4.610110e-02	1
CEACAM3	1360684	454	23	104748	31842	0	2	0	0	50	12	3046450	4.618326e-02	1
ZBTB16	162787	529	-6	278922	77082	0	5	0	0	50	15	3745002	4.626899e-02	1
NGB	554839	418	37	62292	19140	0	2	0	0	50	8	3824694	4.634604e-02	1
LPAR4	16059	NaN	22	150162	44196	0	4	0	0	50	10	3316672	4.661769e-02	1
FAM96A	740524	234	48	68730	18096	0	1	0	0	50	6	3509522	4.662473e-02	1
PPM1K	432936	304	25	155614	43268	0	2	0	0	50	5	2688358	4.673313e-02	1
RNF181	1158965	170	43	66932	16588	0	1	0	0	50	5	3203514	4.690295e-02	1
KCTD11	1911735	206	36	89552	32074	0	1	0	0	50	3	3596000	4.691187e-02	1
TAF13	989913	215	18	54810	12876	0	1	0	0	50	6	2807896	4.693344e-02	1
MARCO	152902	553	-2	220748	62350	0	4	1	0	50	14	3355474	4.723397e-02	1
PDYN	461602	543	28	104110	30392	0	3	0	0	50	13	3197714	4.769263e-02	1
CAPN6	132204	NaN	23	272136	71340	0	3	0	0	50	5	2747112	4.776064e-02	1
SLC25A38	160739	595	32	125280	38106	0	3	1	0	49	11	3336102	4.792486e-02	1
ZWINT	65824	1191	-19	119248	31784	0	2	0	0	50	27	3611950	4.799539e-02	1
GABRG1	36353	926	-2	197548	51272	0	5	0	0	50	17	3549948	4.901658e-02	1
KLHDC1	627751	342	18	179046	42108	0	2	0	0	50	6	3221146	4.903458e-02	1
HTN1	59679	975	3	28478	5278	0	1	0	0	23	7	1466820	4.944250e-02	1
SLCO2B1	752269	449	48	290580	89088	0	4	0	0	50	17	3667978	4.964860e-02	1
ATG7	184628	425	30	298932	81084	0	3	1	0	50	8	4224894	4.965765e-02	1
RASSF7	1970020	236	42	155208	54114	0	2	1	0	50	7	3300664	5.025565e-02	1
ACOT8	742720	180	48	135082	38048	0	3	0	0	50	6	2509718	5.093081e-02	1
CGB7	2070141	200	35	65888	22504	0	1	0	0	50	5	2955854	5.140809e-02	1
USP30	592814	487	20	218312	60436	0	3	0	0	50	10	3207980	5.152877e-02	1
SOS1	805852	351	18	563006	149002	0	6	0	0	50	9	3713102	5.158347e-02	1
SRGN	766231	183	55	66178	18560	0	2	0	0	50	7	3431744	5.187558e-02	1
TAF1	729010	NaN	32	807128	207640	0	8	1	0	50	7	3211924	5.191866e-02	1
ODAM	181352	975	12	120988	32480	0	2	0	0	50	10	2928826	5.198388e-02	1
FETUB	508316	436	45	157934	46516	0	4	0	0	50	13	4557930	5.200269e-02	1
NRD1	707583	382	16	525944	133516	0	4	0	0	50	7	3269692	5.204560e-02	1
SERPINB12	190401	339	20	172666	43094	0	2	0	0	50	7	3252814	5.224826e-02	1
PIP4K2A	196977	577	25	174754	43964	0	3	0	0	50	6	3341496	5.233661e-02	1
MMGT1	253719	NaN	20	54346	16646	0	1	0	0	50	8	2947270	5.239242e-02	1
CBLN4	236365	941	-74	80794	26042	0	2	0	0	50	20	3119414	5.250585e-02	1
TMEM163	261980	649	5	120408	36192	0	3	0	0	50	11	3268590	5.274060e-02	1
BPI	562486	350	45	208220	56608	0	2	0	0	50	5	3359940	5.305854e-02	1
MTHFD2	1026994	272	50	146160	42282	0	2	0	0	50	8	3035894	5.309763e-02	1
SPIC	305133	649	-1	105560	26158	0	2	1	0	20	6	1053860	5.331896e-02	1
MITF	48041	436	-15	254214	65250	0	3	0	0	50	10	3630278	5.334168e-02	1
OR5M11	NaN	NaN	NaN	122438	37120	0	2	0	0	50	31	6496232	5.340639e-02	1
OR8H3	9992	1007	-32	125744	37642	0	5	0	0	50	34	3671342	5.343309e-02	1
OR10J5	492825	646	-4	123946	37526	0	3	0	0	50	14	3493456	5.363185e-02	1
FIS1	1022626	258	39	64786	18212	0	1	0	0	50	7	3210416	5.372034e-02	1
GUCA1C	90728	971	-15	90596	21460	0	2	0	0	50	23	3750280	5.375104e-02	1
TYROBP	1060028	321	47	47676	14964	0	1	0	0	50	11	3144006	5.381737e-02	1
HTRA2	1019591	315	50	179858	64612	0	3	0	0	50	11	3557546	5.385754e-02	1
C4orf26	461415	491	19	54462	14964	0	1	0	0	50	10	3331404	5.396634e-02	1
OR6N2	103627	985	1	127658	38164	0	3	0	0	50	21	3394566	5.406280e-02	1
OR5M1	NaN	NaN	NaN	127020	37932	0	2	1	0	31	10	2883934	5.454672e-02	1
PRPF40B	2010227	265	53	371722	100514	0	3	0	0	50	9	3436152	5.455377e-02	1
EDAR	358833	424	14	189660	52374	0	2	0	0	50	6	3367074	5.508927e-02	1
GNAI1	94843	475	-34	152656	37526	0	3	0	0	50	10	3430642	5.641005e-02	1
LCE2B	169158	818	24	45530	13108	0	2	0	0	50	13	3288426	5.641341e-02	1
LCE2C	169158	818	24	45762	12876	0	2	0	0	50	13	3288426	5.645265e-02	1
HIST1H4K	267617	634	32	40542	14094	0	2	0	0	50	11	2526248	5.660637e-02	1
OR5M9	NaN	NaN	NaN	125106	36888	0	3	0	0	50	31	6496000	5.662380e-02	1
OTOA	520295	466	45	485750	136300	0	5	1	0	49	12	3582950	5.682323e-02	1
NMU	247026	456	28	77314	20300	0	1	0	0	50	4	2846814	5.696781e-02	1
HIF3A	1079866	357	39	277878	86130	0	3	0	0	50	6	2937004	5.713657e-02	1
TFAP2D	17771	1090	-15	186296	55042	0	5	1	0	50	29	3928804	5.741570e-02	1
KCNA7	2070141	200	35	177190	62060	0	3	0	0	50	5	2955854	5.764325e-02	1
POTEG	148332	835	-50	219646	53186	0	7	1	0	50	36	3390100	5.781912e-02	1
FGF16	547612	NaN	-7	47850	13572	0	1	0	0	50	13	3251828	5.793346e-02	1
PRC1	753718	413	31	266800	67106	0	2	0	0	50	4	3731662	5.795239e-02	1
