gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
PIM2	834040	NaN	38	110823	35445	0	4	0	0	50	10	2148069	6.193041e-03	1
SLC8A3	527365	409	28	348177	99042	0	9	1	0	50	19	2984775	6.454144e-03	1
OR56B4	465433	806	-1	111843	34731	0	5	0	0	50	24	2870229	6.472726e-03	1
ALKBH6	980636	320	19	97359	29172	0	2	0	0	50	7	2658375	6.658407e-03	1
IL20	467839	385	39	66249	17748	0	2	0	0	50	19	3245946	6.943723e-03	1
PGBD1	273319	502	35	298911	77163	0	6	0	0	50	7	2537097	6.962961e-03	1
KLRD1	406053	331	1	70584	15708	0	4	0	0	50	20	3170313	7.069750e-03	1
CD86	557964	715	39	124593	30549	0	5	0	0	50	14	2685456	7.343680e-03	1
ZNF488	117080	445	21	116994	39525	0	3	1	0	50	20	2910366	7.350203e-03	1
FMO1	427825	968	-4	196248	53295	0	5	0	0	42	13	2703357	7.602105e-03	1
KYNU	48515	369	20	179724	46410	0	7	0	0	50	20	2962590	8.064599e-03	1
CETP	842366	125	52	185436	50796	0	3	0	0	50	9	3428271	8.613836e-03	1
ZNF735	NaN	NaN	NaN	154632	36465	0	7	0	0	50	34	5716029	8.654894e-03	1
GPR32	652250	593	27	123471	40239	0	6	0	0	50	27	3218610	9.042039e-03	1
SMARCA4	1984564	190	40	619956	173961	0	5	1	0	50	4	3187551	9.159114e-03	1
LIAS	648710	177	43	140403	37230	0	2	0	0	50	7	3168528	9.204484e-03	1
RELN	291011	954	7	1290606	337161	0	27	4	0	34	14	2186676	9.439620e-03	1
C10orf120	321415	530	1	124236	31824	0	4	1	0	45	20	3024504	9.977471e-03	1
FBN2	226750	605	9	1105935	270300	0	22	3	0	50	13	3385482	9.996128e-03	1
FAM173B	623675	325	5	85476	24684	0	2	0	0	50	20	4012629	1.020778e-02	1
ABCA2	1951939	202	40	897600	274992	0	7	0	0	50	3	3064641	1.027086e-02	1
OR51F1	207755	972	-1	109242	34272	0	7	0	0	50	30	3032154	1.060099e-02	1
LYZL6	703538	424	31	56049	14178	0	2	0	0	50	11	3169446	1.064582e-02	1
C21orf58	940047	624	53	114393	38148	0	2	0	0	50	9	3006195	1.111867e-02	1
CARD17	NaN	NaN	NaN	41259	11526	0	2	0	0	50	34	5691090	1.154852e-02	1
KRTAP19-6	22916	1048	-79	21114	6273	0	2	0	0	50	58	2329068	1.160937e-02	1
CCL28	500147	320	6	48093	12189	0	3	0	0	50	16	3595041	1.239617e-02	1
DEFB110	70183	1258	-7	44166	8466	0	3	0	0	50	31	2790771	1.241003e-02	1
GUCY1A3	43073	764	1	255102	68952	0	6	0	0	50	19	3374313	1.248378e-02	1
WNT10B	1737773	214	55	137955	43503	0	4	1	0	50	7	2660721	1.252624e-02	1
FAM47C	71087	NaN	-10	357765	118065	0	12	2	0	50	45	4532013	1.254559e-02	1
CAMP	1113209	193	40	62424	18207	0	2	0	0	50	6	2278884	1.293350e-02	1
LIN7C	371553	477	-10	72981	20655	0	3	0	0	50	14	3579027	1.329073e-02	1
SGIP1	116994	601	-8	307530	87669	0	10	2	0	50	22	2833356	1.343117e-02	1
SUN1	642960	310	29	311304	88179	0	4	1	0	50	13	3368244	1.348431e-02	1
MOGAT1	251851	308	19	124695	33201	0	4	0	0	50	10	2856510	1.350847e-02	1
GPR139	254650	827	-17	127296	36108	0	6	0	0	50	24	2742270	1.354056e-02	1
TFF2	313101	464	90	48960	12546	0	3	0	0	50	10	2440044	1.358456e-02	1
SERPINA6	203903	744	-1	147186	41616	0	5	0	0	50	26	2874054	1.371797e-02	1
TBX21	1118277	217	27	191250	57834	0	3	0	0	50	3	2624001	1.433596e-02	1
SLC17A3	313920	673	30	183804	53193	0	4	0	0	50	7	3070659	1.449507e-02	1
OR4C6	1295	1091	-20	109650	32334	0	8	0	0	50	46	2745228	1.522051e-02	1
GABRA4	104768	839	15	202572	57069	0	10	1	0	49	25	2717433	1.536637e-02	1
NDRG3	902649	176	61	144024	37740	0	2	0	0	50	6	2435199	1.577749e-02	1
WDR4	439191	276	57	153153	43452	0	3	0	0	50	8	2526744	1.583155e-02	1
SV2A	798975	560	17	269892	77877	0	5	0	0	50	8	3281493	1.600483e-02	1
DAO	494991	393	49	129285	36567	0	3	0	0	50	9	3458973	1.629310e-02	1
PEX5L	307645	761	5	233784	62577	0	6	1	0	50	25	3461370	1.664802e-02	1
KRT31	1321356	424	-6	151368	44013	0	7	1	0	50	21	2417196	1.675937e-02	1
DCAF12L1	11311	NaN	-16	161058	52530	0	11	2	0	17	15	1051059	1.695705e-02	1
FZD10	59974	465	-39	206193	60945	0	6	0	0	50	23	2972229	1.717289e-02	1
RGPD4	NaN	NaN	NaN	649689	171462	0	10	2	0	50	36	5851026	1.722271e-02	1
SIGLEC12	360870	583	-4	221493	67830	0	6	1	0	50	8	2319633	1.737025e-02	1
PCDH11X	123263	NaN	-21	495924	145146	0	20	4	0	37	15	1818456	1.738292e-02	1
FGF23	295315	860	33	89913	26979	0	5	1	0	50	14	2454936	1.767442e-02	1
RNF125	417722	442	28	86700	23307	0	3	0	0	50	11	3799959	1.792812e-02	1
OR6K2	175690	966	2	114597	34578	0	5	0	0	50	29	3066936	1.793406e-02	1
SATB2	104340	978	2	268209	74817	0	6	0	0	50	14	2623950	1.797023e-02	1
CWC25	1198833	207	37	160548	40494	0	4	0	0	50	8	2604570	1.848182e-02	1
TCP10	254009	704	1	120411	34272	0	4	1	0	50	30	3590196	1.848403e-02	1
MALT1	331493	198	55	307785	80682	0	4	1	0	50	12	2705448	1.866293e-02	1
GPRC5B	258899	641	9	141678	45441	0	4	0	0	50	13	3144201	1.873148e-02	1
PRDM9	15618	1069	-19	330735	86190	0	11	2	0	50	47	2776236	1.875936e-02	1
ACSF3	1277584	239	40	206295	64056	0	3	0	0	50	5	3232227	1.882383e-02	1
CD7	2856070	193	24	82977	29478	0	2	0	0	50	7	2844270	1.898939e-02	1
CRYL1	346767	584	28	119493	31977	0	2	0	0	50	16	3519204	1.901709e-02	1
TAAR9	178165	618	22	124389	35802	0	4	0	0	50	14	2808111	1.913503e-02	1
ITGBL1	26094	536	-6	189720	43605	0	5	0	0	50	24	3151953	1.923728e-02	1
TBX15	87793	927	-4	180795	51000	0	5	0	0	50	24	3062193	1.928772e-02	1
SETBP1	15027	678	31	593283	171411	0	11	1	0	50	15	3066834	1.965159e-02	1
EPHA5	57073	706	-19	381939	104907	0	11	2	0	50	34	3287460	1.968856e-02	1
ZNF576	441738	209	6	61812	17901	0	2	0	0	50	14	3172506	2.018246e-02	1
C8orf22	15071	631	-19	32181	7905	0	2	0	0	50	30	2739567	2.037789e-02	1
ADIPOR1	421206	389	30	137649	39219	0	3	0	0	50	10	2953206	2.095703e-02	1
TPPP2	971417	320	12	63801	16830	0	2	0	0	50	11	2575194	2.114114e-02	1
HNRNPC	730651	357	37	115158	30039	0	2	0	0	50	18	3374466	2.124976e-02	1
SOST	1081050	192	35	75123	24021	0	2	0	0	50	8	2636037	2.138360e-02	1
MYL2	907625	570	47	65484	15147	0	2	0	0	50	18	3672051	2.151139e-02	1
OR51A7	65798	1006	-15	110925	32436	0	5	0	0	50	33	3023433	2.179982e-02	1
CHRDL1	108458	NaN	14	174624	42789	0	4	0	0	50	15	3352128	2.203545e-02	1
CXorf66	66755	NaN	14	131580	36108	0	5	1	0	50	22	3151596	2.226021e-02	1
TMEM207	163494	373	9	54060	16167	0	3	0	0	50	15	2981307	2.233965e-02	1
CNGA2	126208	NaN	-2	241026	67881	0	4	0	0	50	15	3593052	2.243564e-02	1
P2RX5	504736	354	20	158253	42942	0	4	0	0	50	13	3351567	2.250574e-02	1
ZNF285	715346	528	-44	220218	52887	0	4	0	0	50	19	2543472	2.275937e-02	1
LDB2	55867	983	2	153306	39627	0	5	0	0	50	23	3321120	2.338106e-02	1
SERPINB2	152044	522	12	155040	40188	0	5	1	0	50	15	3754620	2.349383e-02	1
XG	202643	NaN	23	77979	18564	0	2	0	0	50	12	3198159	2.381824e-02	1
VAMP8	1158965	170	43	37434	10149	0	1	0	0	50	4	2816883	2.385230e-02	1
LYZL1	172530	439	3	73287	18972	0	3	0	0	50	9	2459883	2.408999e-02	1
IFNA5	232155	466	-14	69615	18207	0	4	0	0	50	13	2633946	2.410156e-02	1
GNAL	281108	361	18	189822	50388	0	5	0	0	50	17	3173373	2.425039e-02	1
UQCRB	217849	671	12	43758	9486	0	2	0	0	50	28	3565410	2.473832e-02	1
CD200	260383	621	20	107916	31161	0	3	0	0	50	15	2703510	2.474500e-02	1
SLC26A11	684326	219	17	215832	72573	0	4	0	0	50	5	2763486	2.474761e-02	1
WDR70	302307	592	15	249033	62628	0	4	0	0	27	12	2033778	2.555196e-02	1
TMEM175	675007	256	45	179316	58599	0	3	0	0	43	10	2631294	2.562572e-02	1
DUSP12	447958	504	29	125817	34068	0	2	0	0	50	14	3003441	2.563145e-02	1
SLC9A9	209532	954	7	241434	64260	0	4	0	0	50	21	2870025	2.573186e-02	1
RTP1	425258	445	28	95523	26571	0	2	0	0	50	11	3595857	2.573773e-02	1
CPB1	276750	681	-16	155805	42483	0	4	0	0	50	33	3407361	2.575593e-02	1
ZNF41	791516	NaN	27	289884	69972	0	4	0	0	45	11	3464430	2.590532e-02	1
LRTM2	245027	593	30	130968	41157	0	4	0	0	50	16	2942598	2.645071e-02	1
RAB40AL	208589	NaN	36	98277	30090	0	4	1	0	50	15	2313462	2.645239e-02	1
PDE6A	1032925	135	43	328287	79764	0	4	0	0	50	4	3531087	2.663807e-02	1
CD5L	116471	778	28	127500	35292	0	4	1	0	15	4	860166	2.691757e-02	1
RPL3	932556	250	69	150807	40749	0	3	1	0	50	11	2909193	2.696491e-02	1
CUEDC1	873797	222	6	142647	40494	0	4	0	0	50	11	2773125	2.697860e-02	1
WISP1	235882	481	12	133977	37995	0	5	0	0	50	9	2643687	2.733645e-02	1
SLC16A10	362574	424	28	184518	55386	0	3	0	0	50	10	3549549	2.782609e-02	1
EMD	2277674	NaN	40	93534	26571	0	3	0	0	50	14	2946882	2.800338e-02	1
MUC13	364165	212	42	190026	51714	0	6	0	0	50	12	2725950	2.808560e-02	1
ADCYAP1R1	364216	631	7	178398	46359	0	5	1	0	50	9	2827746	2.809539e-02	1
MBL2	68687	786	-26	90066	26367	0	4	0	0	50	44	3090549	2.842526e-02	1
CD44	685695	222	28	285090	66351	0	5	0	0	50	5	2509608	2.872192e-02	1
OR8H3	9992	1007	-32	110568	33099	0	8	1	0	50	69	3228249	2.876214e-02	1
OR2T34	116628	850	-20	112455	33966	0	4	1	0	50	32	2798880	2.899952e-02	1
CD6	802735	546	56	243474	70941	0	5	1	0	50	13	3615645	2.911467e-02	1
IL22	383435	623	12	67167	18207	0	2	0	0	50	15	2865741	2.913980e-02	1
NPHS2	585744	613	-14	138720	42126	0	4	0	0	50	13	2559792	2.949054e-02	1
ADAMTS20	126632	906	-21	720936	179316	0	17	1	0	40	22	2612322	2.961992e-02	1
SLC35E4	723012	330	56	116586	45135	0	2	0	0	50	3	2196366	2.968012e-02	1
IL2	227942	612	-14	57681	15147	0	3	0	0	50	18	2608344	3.019563e-02	1
OTX1	240308	505	12	124797	39372	0	2	1	0	50	15	3054390	3.026070e-02	1
SCPEP1	333715	254	-10	170289	45288	0	3	0	0	50	17	2908275	3.036700e-02	1
PEAR1	1362027	244	38	383928	105978	0	4	2	0	36	9	2650164	3.050664e-02	1
P2RY10	14218	NaN	50	123012	33660	0	3	0	0	50	13	2617371	3.059595e-02	1
NOS1	201056	259	13	526728	148461	0	8	2	0	50	14	2549643	3.071498e-02	1
RGS7	134467	834	-27	189822	44574	0	6	0	0	50	36	2828205	3.097297e-02	1
FRG2C	NaN	NaN	NaN	103020	29019	0	5	1	0	26	9	1687539	3.098912e-02	1
STX4	1398193	247	40	113271	29631	0	2	0	0	50	11	3771756	3.107859e-02	1
NEFH	723458	203	35	364344	106437	0	3	0	0	50	2	3180666	3.119225e-02	1
APOA2	728669	234	37	37740	10455	0	1	0	0	39	4	2277609	3.136562e-02	1
AIFM3	577297	192	58	227868	64668	0	3	0	0	50	8	3009102	3.154110e-02	1
MRPL15	268859	464	31	107253	31824	0	2	0	0	50	8	2910723	3.173252e-02	1
PHPT1	1921909	176	44	55029	13056	0	2	0	0	50	3	2978553	3.200555e-02	1
C7orf60	157620	814	-14	149124	39678	0	5	0	0	35	19	2414085	3.203035e-02	1
ZSCAN4	532349	849	-37	158865	41565	0	7	2	0	44	23	2148528	3.206700e-02	1
HAX1	1653296	236	29	104142	28050	0	2	0	0	50	10	3289602	3.237302e-02	1
GCG	95439	554	7	69513	16626	0	2	0	0	50	16	2895831	3.239558e-02	1
LYSMD2	440341	247	34	76245	24123	0	2	0	0	50	13	2834886	3.278555e-02	1
ACSM5	181483	823	6	212568	61608	0	9	2	0	50	23	2630121	3.292148e-02	1
OR6Q1	NaN	NaN	NaN	110976	34833	0	3	0	0	50	34	5714397	3.300997e-02	1
NSFL1C	397239	386	42	137853	37332	0	2	0	0	50	16	3250434	3.312321e-02	1
TNNI3	1036976	266	-1	78132	22542	0	3	0	0	50	8	2111808	3.358384e-02	1
NCF1	895858	125	49	146268	39627	0	2	0	0	50	6	3366408	3.385398e-02	1
MAP1LC3C	172086	419	-12	55590	14484	0	2	0	0	50	27	3379311	3.385588e-02	1
TRPA1	19123	936	29	425289	104703	0	9	3	0	28	11	1570035	3.393698e-02	1
IRF6	220312	429	18	173298	45798	0	3	0	0	50	10	3119517	3.410963e-02	1
KRTAP23-1	4608	1035	-69	23307	7293	0	2	0	0	50	40	2029749	3.413619e-02	1
DCUN1D1	232043	574	13	101286	22032	0	2	0	0	50	8	2516136	3.430760e-02	1
GCHFR	1011507	172	46	31722	8823	0	1	0	0	50	13	3317091	3.442423e-02	1
SF3B5	321795	374	17	32028	7905	0	1	0	0	50	15	3673377	3.467127e-02	1
RPLP2	1799017	232	51	43656	12189	0	2	0	0	50	5	2688057	3.471293e-02	1
GCM1	414446	329	20	161007	42024	0	3	0	0	50	12	3121506	3.473862e-02	1
ZSWIM2	278175	629	-5	237099	59109	0	8	0	0	10	2	677076	3.482090e-02	1
CNTFR	843127	370	55	134742	41208	0	3	0	0	50	5	2334168	3.488079e-02	1
TMBIM6	1828526	265	67	111129	30243	0	2	0	0	50	10	3260379	3.489199e-02	1
SAMD9	362550	625	8	582114	148308	0	8	0	0	41	8	2305251	3.493554e-02	1
NUDCD2	226025	696	12	58803	15861	0	2	0	0	50	18	2647257	3.497366e-02	1
ST8SIA3	298355	599	9	139179	37536	0	5	0	0	50	15	3274200	3.507105e-02	1
SEPHS1	246468	433	33	144942	40341	0	3	0	0	50	15	3403689	3.534528e-02	1
MFAP4	630769	332	11	95064	25806	0	2	0	0	50	17	4084029	3.555337e-02	1
SPEM1	1906324	206	33	110160	33966	0	3	0	0	50	10	3372732	3.584423e-02	1
TNN	169074	612	14	475065	132651	0	10	3	0	50	22	2662302	3.584816e-02	1
CRISP2	67596	1248	-6	93585	22695	0	5	0	0	50	30	2505732	3.585159e-02	1
VSNL1	135361	1255	-2	72828	17136	0	3	0	0	50	27	2557701	3.604806e-02	1
FERD3L	103347	812	-15	59364	17901	0	3	0	0	50	32	3352179	3.624292e-02	1
PDILT	212375	823	0	218331	56916	0	6	1	0	50	17	2700297	3.640500e-02	1
MMP7	524316	359	17	99552	26826	0	2	0	0	50	11	3033021	3.643697e-02	1
DPEP3	863919	158	54	182631	59415	0	5	0	0	50	13	3272874	3.655427e-02	1
ATOH1	58522	802	24	123165	39780	0	5	0	0	50	14	2690454	3.691438e-02	1
NTHL1	1747301	183	46	112761	34272	0	3	0	0	50	7	2741607	3.723935e-02	1
LRRIQ3	58597	1188	-18	234396	56457	0	10	2	0	32	18	1618434	3.763943e-02	1
CD2	697845	431	21	129489	34833	0	3	0	0	50	15	3362940	3.772784e-02	1
ADIG	525955	539	39	30804	7293	0	1	0	0	50	18	3667818	3.836866e-02	1
CALHM1	542721	170	51	121023	38862	0	4	0	0	50	7	2603703	3.840227e-02	1
CCDC73	408431	441	4	412284	93840	0	6	0	0	50	9	2788476	3.848684e-02	1
GLDC	213479	411	26	379491	103836	0	8	1	0	50	16	2927910	3.873348e-02	1
ELF1	291800	476	39	223992	64872	0	5	1	0	50	7	2775318	3.879007e-02	1
PTP4A1	256545	154	15	65178	17136	0	3	0	0	50	15	2593809	3.892002e-02	1
RGS18	96080	925	-20	89454	21318	0	2	0	0	50	30	2956725	3.905837e-02	1
TBX4	312575	408	-11	197268	57936	0	7	1	0	50	16	3154350	3.920753e-02	1
NARS2	302979	569	17	178755	48603	0	5	0	0	50	21	4023390	3.940760e-02	1
KLK6	581408	606	29	90678	24837	0	4	0	0	50	24	2624664	4.003139e-02	1
CYP2B6	1041792	375	14	179826	51204	0	3	1	0	50	9	2243694	4.006858e-02	1
FAM168B	461529	331	16	71247	22389	0	3	0	0	50	12	2898789	4.031473e-02	1
ZBTB5	534559	337	36	243015	68799	0	3	0	0	50	12	3018435	4.074297e-02	1
FAHD2B	515149	535	38	115311	33558	0	2	0	0	50	10	3199995	4.083329e-02	1
PDZD3	1258103	195	57	180438	58242	0	2	0	0	50	13	3364113	4.115289e-02	1
MAGED2	257482	NaN	20	221238	64719	0	3	0	0	50	10	2907612	4.139180e-02	1
TRIM50	902769	422	52	174726	52938	0	4	0	0	50	14	3401649	4.145194e-02	1
OR5M10	NaN	NaN	NaN	111333	33711	0	4	0	0	50	34	5713275	4.168955e-02	1
GH1	1446139	380	27	82926	19890	0	2	0	0	50	13	2685507	4.178003e-02	1
ARHGAP36	65931	NaN	13	198441	59211	0	6	1	0	50	19	3275475	4.178052e-02	1
RB1	349930	450	41	352308	90015	0	4	0	0	25	7	1766691	4.180793e-02	1
JTB	2028800	222	34	55182	14739	0	1	0	0	50	4	2619156	4.187774e-02	1
SLC1A6	961949	546	4	199869	64974	0	4	1	0	50	27	3456117	4.218094e-02	1
HCLS1	289905	613	25	182784	48399	0	4	0	0	50	30	3701223	4.226509e-02	1
ITGA8	110825	853	-3	399993	106437	0	12	3	0	37	20	2043315	4.228053e-02	1
NSMCE2	328239	420	38	95115	22389	0	2	0	0	50	15	3215703	4.263624e-02	1
MRGPRX3	631291	436	20	112404	36465	0	2	0	0	50	13	3553833	4.278796e-02	1
SLC17A4	272695	635	29	182274	53040	0	5	1	0	50	9	2473245	4.281042e-02	1
HOXA5	356045	385	28	97818	27489	0	3	0	0	50	13	3253596	4.296358e-02	1
LPAR4	16059	NaN	22	132039	38862	0	6	0	0	50	19	2916384	4.338340e-02	1
BRAF	305191	616	25	282948	79815	0	7	0	0	50	26	3397518	4.343859e-02	1
COX6B1	1162794	390	27	34323	7446	0	1	0	0	50	13	2954787	4.359675e-02	1
OTOP3	1045089	223	25	209151	68391	0	3	0	0	50	5	2849625	4.361195e-02	1
CCDC70	353099	349	69	87771	20247	0	3	0	0	50	13	2962743	4.362592e-02	1
APLP2	624855	203	15	288048	73032	0	3	0	0	50	3	2857428	4.387999e-02	1
IL23R	453952	581	-4	236385	58905	0	3	0	0	50	10	2792199	4.400536e-02	1
NR1I3	731911	229	39	146727	40392	0	2	0	0	50	8	3406443	4.408345e-02	1
OR4D6	430021	507	-1	110415	34017	0	3	0	0	50	22	3042966	4.408345e-02	1
C9	168073	424	-8	210069	53397	0	6	2	0	50	23	2878848	4.408402e-02	1
C9orf172	1921909	176	44	327369	120921	0	3	0	0	50	3	2978553	4.446655e-02	1
HMG20A	341694	645	30	131937	33303	0	2	0	0	50	10	3424344	4.478523e-02	1
TGM4	466410	380	31	255102	67575	0	4	1	0	50	7	2675970	4.494700e-02	1
GJA8	NaN	NaN	NaN	153561	46563	0	4	1	0	32	16	3037713	4.496413e-02	1
FFAR3	767113	472	9	120615	39270	0	2	1	0	50	15	2446419	4.519913e-02	1
COL5A1	229207	421	31	672027	211854	0	9	1	0	50	15	3830304	4.524277e-02	1
RAB25	2005405	213	39	77520	23154	0	1	0	0	50	3	3118497	4.526487e-02	1
LRRC56	1970020	236	42	191250	64719	0	2	0	0	50	3	2902308	4.527944e-02	1
HIST4H4	340728	578	-4	35751	12597	0	1	0	0	50	8	2255373	4.533972e-02	1
PI15	149375	824	-13	95625	26316	0	4	0	0	50	34	3344631	4.584535e-02	1
GLUD2	339278	NaN	-6	197931	58956	0	5	0	0	50	13	2435607	4.646827e-02	1
CACNA2D1	58044	982	4	421974	102510	0	10	1	0	50	26	3540012	4.647908e-02	1
C1orf61	2199280	201	27	58395	16728	0	1	0	0	50	8	3529455	4.685468e-02	1
HOXA13	473864	394	13	135150	44319	0	3	0	0	50	30	3670878	4.709874e-02	1
OR4N2	275024	858	-57	108069	33150	0	4	1	0	50	24	2610843	4.727240e-02	1
INSL6	351963	629	20	78387	21063	0	2	0	0	50	18	2894709	4.773437e-02	1
CYP4F2	825892	575	15	192882	53448	0	4	0	0	50	14	3174648	4.784807e-02	1
ACTB	1906749	195	34	136272	39372	0	3	1	0	50	9	3259614	4.818668e-02	1
XRCC2	256955	444	6	103071	27438	0	2	0	0	50	12	2765730	4.820718e-02	1
FSD1	2122615	220	27	184773	50694	0	4	0	0	50	10	3417765	4.837366e-02	1
HTN1	59679	975	3	25041	4641	0	2	0	0	23	7	1289790	4.870950e-02	1
AP1M2	2036812	226	23	159222	42432	0	3	0	0	50	7	3198822	4.879993e-02	1
OR5H15	200002	811	-15	111588	32232	0	4	0	0	50	33	3021087	4.891836e-02	1
USH1G	1045089	223	25	161976	51306	0	2	0	0	50	5	2849625	4.944641e-02	1
GPAA1	2720766	211	27	217515	75021	0	4	0	0	50	8	3777111	4.945229e-02	1
CDH12	127633	1075	-20	289986	81039	0	11	0	0	42	30	2546736	5.000820e-02	1
SLC24A5	219744	588	-38	183702	51765	0	6	0	0	50	31	2997219	5.023920e-02	1
KRT86	839631	175	48	177480	51255	0	2	0	0	50	6	3343968	5.030560e-02	1
HBD	109545	1056	-1	53244	15912	0	2	0	0	50	25	2578101	5.031551e-02	1
KRT25	836683	269	-10	164730	46869	0	3	2	0	39	9	1812183	5.059781e-02	1
H1FOO	779764	210	59	123216	39117	0	3	1	0	50	12	2738547	5.064706e-02	1
NXF1	2405109	248	44	240159	64770	0	4	0	0	50	11	2831214	5.071508e-02	1
KARS	449343	354	18	242760	63546	0	3	0	0	50	8	3055767	5.076644e-02	1
LMBRD2	174910	599	-4	263568	66300	0	6	0	0	31	9	1716558	5.097494e-02	1
FLG	433645	548	21	1438914	426768	0	32	4	0	50	20	3266499	5.116979e-02	1
RIMS3	678456	421	20	111384	34119	0	2	0	0	50	13	3233706	5.182667e-02	1
KRTAP5-3	NaN	NaN	NaN	85935	24072	0	2	0	0	50	34	5703636	5.203594e-02	1
MORF4L1	482778	413	50	139230	34731	0	2	0	0	50	9	3082644	5.211579e-02	1
TMED3	259115	736	19	78591	23001	0	2	0	0	50	23	3458922	5.227653e-02	1
MMD2	1539893	542	5	100878	27183	0	3	0	0	50	19	3763494	5.228391e-02	1
MAP1LC3A	990458	214	54	53958	12750	0	1	0	0	50	7	2754918	5.235406e-02	1
LRRTM4	7531	1175	-21	213894	59211	0	11	0	0	14	11	1052436	5.296261e-02	1
PAK4	1652029	286	26	207162	69462	0	3	0	0	50	8	3020373	5.297669e-02	1
A4GNT	190056	464	9	123675	34068	0	4	0	0	50	12	3197955	5.307336e-02	1
RPL29	1045639	224	36	58752	16524	0	1	0	0	50	5	2550153	5.309713e-02	1
MCM10	246179	354	35	326196	87516	0	4	0	0	50	10	2706978	5.349937e-02	1
CSNK1A1L	156140	631	31	122961	32181	0	2	0	0	50	12	3186582	5.375276e-02	1
IL1RL1	240161	588	9	209457	54009	0	4	0	0	50	14	3319029	5.410603e-02	1
PPP1R13L	1269856	191	31	291873	95982	0	4	1	0	50	7	3084480	5.412127e-02	1
GPR158	43942	814	-21	437886	126684	0	14	4	0	50	40	2872932	5.424039e-02	1
AHSG	508316	436	45	131937	40953	0	3	0	0	50	19	4007835	5.432975e-02	1
GPC4	66980	NaN	40	207060	53499	0	6	1	0	50	25	3176535	5.434422e-02	1
PTEN	259678	300	34	154428	35904	0	2	0	0	50	15	2612730	5.446780e-02	1
FAM126A	1063802	413	26	193341	52377	0	3	0	0	50	17	3725754	5.447045e-02	1
PRAMEF11	NaN	NaN	NaN	157743	44064	0	5	1	0	32	16	3035214	5.459664e-02	1
HIST1H4B	408919	685	43	35598	12444	0	1	0	0	50	12	2418420	5.482481e-02	1
