gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KIF19	362227	433	-8	374445	114162	0	5	0	0	39	8	2845146	9.357113e-03	1
GALNT8	283327	862	24	244065	66939	0	7	1	0	50	20	3642054	1.031491e-02	1
CXorf40B	280868	NaN	34	59572	17543	0	2	0	0	50	7	2640619	1.042155e-02	1
MDM2	541243	228	32	196153	47753	0	3	0	0	50	7	2899471	1.049457e-02	1
SAMD7	400118	622	17	169971	47700	0	5	0	0	50	12	3009923	1.070468e-02	1
TIFAB	625030	509	47	57770	20140	0	3	0	0	50	12	3593665	1.072206e-02	1
MARCH11	160001	888	-24	148771	45368	0	6	1	0	50	21	3296918	1.076123e-02	1
MAGED2	257482	NaN	20	229914	67257	0	4	0	0	50	8	3021636	1.128539e-02	1
OLR1	397577	398	18	110134	23744	0	4	0	0	50	14	3188268	1.153200e-02	1
GKN2	340835	327	14	72451	18974	0	2	0	0	50	9	3364599	1.155563e-02	1
ZNF716	NaN	NaN	NaN	191489	47011	0	5	1	0	37	18	4198395	1.169458e-02	1
OR5AR1	NaN	NaN	NaN	114745	33284	0	5	1	0	31	9	2633941	1.184067e-02	1
CD99L2	287647	NaN	12	104145	27666	0	4	0	0	50	13	2932225	1.191558e-02	1
OR10X1	179404	940	1	118349	36199	0	7	1	0	49	28	3048189	1.196256e-02	1
TMPRSS12	594068	250	43	131652	37683	0	4	1	0	50	12	3172898	1.228413e-02	1
PDE1C	124074	828	6	250372	63335	0	6	1	0	50	23	2873766	1.236346e-02	1
UGT2A1	19584	1065	-8	201665	53689	0	5	1	0	50	31	3446325	1.241732e-02	1
ABCB11	223582	560	1	508005	139761	0	7	1	0	50	11	3047606	1.249235e-02	1
RAB8B	451708	214	44	83263	20723	0	2	0	0	50	5	2640407	1.335311e-02	1
PGK1	549810	NaN	14	160961	44785	0	3	1	0	26	3	1719320	1.363149e-02	1
STRA8	425774	594	40	128896	33761	0	4	0	0	50	12	3358663	1.383162e-02	1
UXT	770573	NaN	45	66515	18073	0	2	0	0	50	11	3259500	1.426928e-02	1
MYL7	1151124	282	56	71020	17384	0	2	0	0	50	11	3460847	1.473529e-02	1
TMTC1	99753	510	-15	298443	82044	0	7	1	0	50	26	4015704	1.496245e-02	1
KITLG	144795	419	-29	109869	26553	0	3	0	0	50	24	3431803	1.506788e-02	1
OR6N2	103627	985	1	116653	34874	0	5	1	0	24	6	1193613	1.509449e-02	1
LRRC43	808864	187	12	245019	76002	0	5	0	0	50	14	3075802	1.540266e-02	1
FAM47A	7968	NaN	-15	288638	89464	0	13	3	0	19	13	1294313	1.600026e-02	1
ZNF804A	18097	1171	4	458503	120575	0	16	2	0	50	23	2980720	1.617035e-02	1
TMEM176B	734961	689	14	102184	31376	0	3	0	0	50	13	2904559	1.626995e-02	1
CEP57	298879	467	2	197319	48018	0	3	0	0	50	6	3726430	1.656364e-02	1
PRDX3	789279	149	29	99004	27719	0	4	0	0	50	8	3521585	1.668751e-02	1
KCNB2	110047	904	-11	339253	97043	0	12	1	0	50	29	4220390	1.671580e-02	1
LRRC7	298237	695	-26	590632	158576	0	17	0	0	10	3	888545	1.685319e-02	1
MPHOSPH6	170324	715	-10	65561	14098	0	2	0	0	50	20	4313564	1.702680e-02	1
TEC	253162	404	42	252280	59996	0	6	0	0	41	11	2560960	1.724537e-02	1
VPREB1	433352	612	35	55173	15423	0	3	0	0	50	14	3303649	1.726553e-02	1
CNBD1	148474	1191	-31	174211	41234	0	7	0	0	50	40	3100288	1.736354e-02	1
TCHHL1	527465	349	35	339200	93757	0	6	0	0	50	9	3214927	1.884093e-02	1
MCM5	366628	224	3	281642	79129	0	4	0	0	50	8	3282078	1.887351e-02	1
INSRR	NaN	NaN	NaN	489084	148188	0	7	0	0	50	26	6050480	1.924661e-02	1
NFS1	1423559	169	53	175430	51304	0	3	0	0	50	5	2775663	1.945059e-02	1
CPZ	92046	471	35	246238	72239	0	4	2	0	50	12	3228548	1.977477e-02	1
BIRC8	427680	921	-46	89782	23585	0	2	1	0	50	17	2579934	1.983767e-02	1
ZSWIM2	278175	629	-5	246397	61427	0	5	1	0	36	11	2383463	1.986530e-02	1
CDH10	30232	737	-29	299026	83687	0	13	3	0	39	21	2041030	1.999350e-02	1
SERPINB3	174293	370	-5	152852	38107	0	4	0	0	50	14	3315680	2.019290e-02	1
PRSS55	78691	633	3	133348	38213	0	6	1	0	50	22	2980773	2.024613e-02	1
MTM1	287123	NaN	16	236539	60473	0	3	0	0	50	14	3923590	2.035726e-02	1
PSKH2	191789	1214	-25	143100	41976	0	5	0	0	50	35	3479026	2.036799e-02	1
USP8	325514	203	30	433434	112413	0	5	1	0	50	16	3665957	2.049973e-02	1
FANCM	234454	565	8	790760	200923	0	8	2	0	50	15	3419878	2.051696e-02	1
SLC10A3	2163759	NaN	42	168434	59572	0	3	0	0	50	9	3290611	2.054624e-02	1
DSG3	275713	450	-18	375611	110929	0	10	2	0	50	16	3375305	2.068445e-02	1
GPR4	1029266	194	44	131334	41817	0	2	0	0	50	6	3844673	2.082666e-02	1
PDE6G	3745109	205	30	34503	9381	0	1	0	0	50	3	2663462	2.103010e-02	1
CREB1	184506	198	25	130062	38160	0	2	0	0	50	12	2963283	2.110995e-02	1
SERPINA7	23303	NaN	21	157622	43354	0	5	1	0	50	19	2953637	2.112992e-02	1
RIMS2	198819	1035	-8	541024	148400	0	12	2	0	50	16	3087621	2.120866e-02	1
MRPL16	395993	494	8	94658	27454	0	2	0	0	50	7	2926130	2.143625e-02	1
OR2A2	221024	812	-11	116229	35616	0	6	0	0	50	24	2987610	2.164087e-02	1
CYP11B2	447193	438	36	189899	55915	0	6	2	0	31	13	1889132	2.181456e-02	1
UBXN4	511712	403	25	198432	51993	0	3	0	0	50	12	3467207	2.189354e-02	1
COL4A1	429137	434	12	628474	200552	0	13	2	0	18	6	1607755	2.209650e-02	1
RND2	1507064	201	26	85595	25705	0	3	0	0	50	7	2622917	2.231411e-02	1
HSPB7	886121	197	43	63176	19663	0	2	0	0	50	14	2992274	2.272772e-02	1
HK3	1129866	222	54	342963	109233	0	7	0	0	18	3	1527831	2.273518e-02	1
CDKN1B	791330	136	44	75472	20723	0	2	0	0	50	11	3023862	2.300088e-02	1
HBE1	109545	1056	-1	56021	15847	0	2	0	0	50	15	2679203	2.306520e-02	1
CCDC87	1343990	194	62	309361	96407	0	5	0	0	50	2	2977858	2.308209e-02	1
ZNF215	403341	827	6	201135	48495	0	5	0	0	50	27	3241003	2.353305e-02	1
ECE1	744763	196	27	316463	86443	0	3	0	0	50	9	3760456	2.390635e-02	1
OSBPL1A	150936	360	35	378897	91902	0	4	0	0	50	5	3072463	2.396031e-02	1
EGFLAM	159917	497	-12	388437	108597	0	7	0	0	18	1	1701300	2.397271e-02	1
MIXL1	739974	278	21	82521	29097	0	2	0	0	50	11	3337039	2.397425e-02	1
CORO1C	451218	217	40	185606	47329	0	3	0	0	50	5	2371538	2.492156e-02	1
FAM71A	409070	224	26	217035	66780	0	4	0	0	39	7	2677931	2.504348e-02	1
CLEC9A	351158	445	9	97467	21783	0	4	1	0	19	4	1078974	2.507122e-02	1
ELSPBP1	881809	433	29	91054	19610	0	3	0	0	50	11	3373768	2.568151e-02	1
MC5R	131146	815	8	119992	35510	0	4	1	0	50	18	3043419	2.580811e-02	1
S1PR1	190734	597	4	139125	43566	0	4	0	0	50	15	2660865	2.641255e-02	1
RPRD1B	582740	137	45	124656	35139	0	2	0	0	50	5	2878165	2.650332e-02	1
SERPINB11	174293	370	-5	152057	39856	0	4	0	0	50	14	3315680	2.677374e-02	1
GKN1	338803	222	16	79288	19610	0	2	0	0	50	14	3265701	2.687474e-02	1
UBA6	154681	604	33	417587	105364	0	5	1	0	50	5	3234855	2.694697e-02	1
SNTG1	2777	1189	-32	204686	53530	0	13	2	0	28	19	1300090	2.701396e-02	1
NAV3	23591	1077	-25	896389	255407	0	26	3	0	21	19	2164520	2.712547e-02	1
DLK1	383705	323	2	144107	41605	0	3	0	0	50	12	3671893	2.713923e-02	1
PCDHGB2	662513	568	2	341055	107166	0	7	1	0	50	25	3715088	2.729924e-02	1
NCKAP5	36731	826	18	716560	205958	0	12	5	0	50	20	3208090	2.754186e-02	1
ZFP64	145657	427	-8	408153	109392	0	4	1	0	50	5	3004040	2.800956e-02	1
SIRPG	421072	486	32	144690	43884	0	2	1	0	50	9	2480135	2.806134e-02	1
SRMS	1262904	298	54	182055	56286	0	3	0	0	50	11	2800043	2.811017e-02	1
OSR2	113665	228	33	119144	31429	0	3	0	0	50	6	2957347	2.819446e-02	1
TNNI2	916434	481	33	75684	18444	0	2	0	0	50	14	3170089	2.829717e-02	1
F2RL2	NaN	NaN	NaN	138966	40545	0	3	0	0	50	26	5942837	2.842265e-02	1
KCNS2	440962	550	28	176808	51834	0	5	1	0	35	9	1671885	2.884262e-02	1
OR4Q3	275024	858	-57	115275	34185	0	6	1	0	50	23	2713229	2.895101e-02	1
GNG12	476287	228	-7	28726	7367	0	1	0	0	50	13	3281813	2.939515e-02	1
SUN1	642960	310	29	323512	91637	0	5	0	0	50	4	3500332	2.940473e-02	1
CST11	188567	750	-16	55597	12614	0	3	0	0	50	24	3284887	2.973605e-02	1
IGSF8	829863	386	17	218360	78334	0	4	0	0	50	8	3181749	2.997190e-02	1
TFAP4	944378	161	33	128260	37259	0	2	0	0	50	6	3132724	3.005848e-02	1
SPERT	813295	613	47	166579	49184	0	5	0	0	50	12	3326280	3.012692e-02	1
PRMT8	227736	768	15	155343	38796	0	3	0	0	50	11	2834281	3.023154e-02	1
MSRA	114315	831	6	93757	24380	0	2	0	0	50	22	2931112	3.032761e-02	1
UBE4A	963668	192	48	416951	107431	0	5	1	0	50	5	3105959	3.042288e-02	1
TMEM51	379959	432	16	93439	28355	0	2	0	0	50	10	3026035	3.067371e-02	1
OR2T11	116628	850	-20	115275	35934	0	4	0	0	50	21	2908640	3.079723e-02	1
GBA3	103435	746	22	180412	46640	0	3	0	0	50	43	7177737	3.079842e-02	1
FLG	433645	548	21	1495342	443504	0	22	5	0	29	11	2346257	3.099329e-02	1
IL1RL1	240161	588	9	217671	56127	0	4	0	0	50	20	3449187	3.101567e-02	1
AHCYL1	660515	373	29	208714	54749	0	3	0	0	50	5	3070979	3.108794e-02	1
ZFHX4	72333	731	8	1355263	376406	0	35	7	0	21	13	1695947	3.135075e-02	1
COX8A	1322584	277	42	24963	9381	0	1	0	0	50	21	3989151	3.158316e-02	1
DPF1	1410213	301	-1	167162	42877	0	3	0	0	50	8	2618571	3.165853e-02	1
TFF1	313101	464	90	33125	9010	0	1	0	0	50	7	2535732	3.185670e-02	1
DUSP22	224772	684	46	74200	18497	0	2	0	0	50	9	2142684	3.200852e-02	1
GPR148	626077	372	11	123702	42612	0	3	0	0	50	7	3337463	3.241612e-02	1
TMEM39B	1242874	218	24	185394	54855	0	2	0	0	50	3	3173269	3.245211e-02	1
TRPT1	1602391	278	57	97891	29627	0	2	0	0	50	10	3106171	3.248743e-02	1
PRODH2	1105613	321	38	198644	64501	0	4	0	0	50	9	2873236	3.251466e-02	1
LYAR	146135	584	35	152004	34344	0	3	0	0	50	8	2635902	3.263219e-02	1
GTF2A2	521844	172	33	43725	11289	0	1	0	0	50	7	3161715	3.280823e-02	1
PGLYRP4	1140044	401	32	142199	41287	0	4	0	0	50	12	2540820	3.282797e-02	1
DNER	253305	456	-3	281642	78016	0	6	1	0	50	12	3052429	3.291124e-02	1
CDKN2A	225405	357	-15	126405	32913	0	4	0	0	50	12	3275453	3.296177e-02	1
HTR5A	186338	603	-1	130221	41499	0	3	0	0	50	14	2855216	3.322572e-02	1
KRTAP5-3	NaN	NaN	NaN	89305	25016	0	2	0	0	50	26	5927308	3.328318e-02	1
LSM7	1503606	267	31	41764	10388	0	2	0	0	50	7	3044320	3.356321e-02	1
VPS72	1562281	184	33	135309	42294	0	2	0	0	50	6	3121064	3.385884e-02	1
PSG5	307971	178	-25	126617	36835	0	4	0	0	50	22	3175601	3.386196e-02	1
LRRC18	NaN	NaN	NaN	97838	28090	0	2	0	0	50	26	5930382	3.396194e-02	1
EYA4	97438	409	-8	264258	69801	0	6	0	0	50	16	3061757	3.409696e-02	1
DAB1	22463	1004	-12	215498	57982	0	8	1	0	50	38	3551318	3.438541e-02	1
PLXNB2	939384	257	70	694936	204527	0	8	0	0	47	5	2835765	3.450711e-02	1
GABRG2	8332	869	-14	199757	52735	0	5	0	0	50	40	4448290	3.461545e-02	1
MAP2K6	58848	397	-42	132500	34291	0	3	0	0	7	1	674107	3.473745e-02	1
CNR1	172187	799	37	174635	51622	0	4	0	0	50	5	3065626	3.487378e-02	1
SPACA3	286646	837	-10	82362	23850	0	4	1	0	16	7	1043358	3.518439e-02	1
MARK2	1321109	201	51	302153	85648	0	2	0	0	50	4	3088204	3.531172e-02	1
SPARC	725286	496	43	120416	30316	0	3	0	0	50	11	3783246	3.565612e-02	1
OR52E6	203856	922	-5	115593	33867	0	3	1	0	50	16	2531863	3.586119e-02	1
OR13C5	147494	920	-31	117501	34344	0	3	0	0	32	19	1973137	3.603774e-02	1
LIPF	145689	327	40	156933	39114	0	2	0	0	50	5	3017873	3.636673e-02	1
LIPK	160610	327	36	156509	39061	0	2	0	0	50	5	2996461	3.673682e-02	1
TECRL	2644	1049	-22	144637	35987	0	5	0	0	50	52	3728656	3.697175e-02	1
ANKRD7	72287	922	-13	100435	25016	0	3	0	0	50	33	3778741	3.700152e-02	1
PNLIPRP1	128161	704	-16	183380	47488	0	4	0	0	41	19	3802962	3.712531e-02	1
CNIH3	408298	633	-5	64130	15847	0	2	0	0	50	20	2928674	3.716212e-02	1
SELK	128709	552	39	38160	9699	0	1	0	0	50	7	2540131	3.722444e-02	1
ZCCHC12	234959	NaN	44	148877	43354	0	3	0	0	50	14	3412670	3.755075e-02	1
GAD2	101835	680	-1	231345	58353	0	5	0	0	50	14	3125569	3.784008e-02	1
TRIM58	87551	993	-35	180942	54855	0	8	1	0	31	32	2428990	3.797215e-02	1
IER3IP1	148377	504	8	31694	9487	0	1	0	0	50	16	3392583	3.820345e-02	1
BLOC1S2	1071291	198	56	57134	13939	0	2	0	0	50	7	3655357	3.879557e-02	1
AKR1B10	403585	319	21	124868	32065	0	2	0	0	50	10	3436732	3.883605e-02	1
CHURC1	515337	275	41	46216	10388	0	2	0	0	50	6	2662084	3.896880e-02	1
IQGAP2	229166	675	34	616973	157039	0	5	1	0	44	9	3024604	3.896942e-02	1
CMKLR1	437015	597	27	139496	40174	0	4	0	0	50	14	3668236	3.906898e-02	1
NLRP3	293118	825	-17	394691	105682	0	12	2	0	50	27	2695050	3.909081e-02	1
TEX13A	9759	NaN	2	150891	46269	0	5	0	0	50	15	2823575	3.926514e-02	1
LAD1	857879	209	26	193556	59254	0	5	0	0	50	7	2498632	3.944782e-02	1
MYLIP	159273	596	27	170501	46057	0	3	0	0	50	9	3369687	3.953290e-02	1
NFATC2	363545	482	28	357379	109445	0	5	0	0	50	4	3365659	3.976493e-02	1
IFI27	200295	605	47	44626	15158	0	1	0	0	50	7	2865074	4.033992e-02	1
AURKC	407201	924	-63	119250	34026	0	2	0	0	50	17	2741160	4.052801e-02	1
TLR6	316028	437	75	302365	78440	0	3	0	0	50	7	2724730	4.060959e-02	1
ATP2B3	940418	NaN	24	479173	140450	0	5	1	0	50	6	2609402	4.102273e-02	1
TNR	177437	738	4	515213	146386	0	13	1	0	50	16	3173799	4.104288e-02	1
GIMAP1	734961	689	14	111459	36252	0	3	1	0	22	7	1102082	4.224081e-02	1
KRTAP5-10	586193	626	50	75048	22101	0	3	0	0	50	13	2553487	4.234328e-02	1
PPIH	650376	461	21	72981	17967	0	2	0	0	50	19	3011990	4.249652e-02	1
FCRL2	113186	829	26	195835	54272	0	5	1	0	50	10	2921943	4.256632e-02	1
OR4X1	400891	509	-27	112307	33496	0	3	0	0	50	21	2921307	4.324661e-02	1
IRF9	974559	220	41	150520	42347	0	2	0	0	50	8	3657265	4.350345e-02	1
PRM2	632841	308	37	39220	10547	0	1	0	0	50	12	3266019	4.369779e-02	1
WDR66	814234	162	38	451189	119780	0	6	1	0	50	8	2296066	4.382546e-02	1
TSKS	1699718	192	47	221805	68052	0	3	0	0	50	7	2929098	4.384762e-02	1
CYP11B1	447193	438	36	190164	55650	0	6	2	0	31	13	1889132	4.410928e-02	1
KIAA1257	1149132	379	52	159848	40174	0	2	1	0	50	14	2924275	4.411071e-02	1
C7orf55	522451	339	35	41976	13356	0	1	0	0	50	10	3050945	4.424466e-02	1
CCDC155	2178574	290	37	216929	63706	0	3	0	0	50	7	3201359	4.449299e-02	1
CDR1	18661	NaN	-31	100435	25016	0	5	0	0	50	40	2919505	4.482301e-02	1
SLC18A3	118787	312	32	185924	68317	0	2	0	0	50	4	3109722	4.495385e-02	1
LDB1	1018634	187	38	162074	40810	0	2	1	0	50	6	3171838	4.500191e-02	1
TIMD4	135146	1235	16	144160	42029	0	5	0	0	50	15	2702364	4.504481e-02	1
PLAGL2	1071799	262	51	181578	56127	0	4	0	0	50	7	2825112	4.510595e-02	1
GHRH	787991	404	44	43036	11183	0	1	0	0	50	12	3411027	4.534186e-02	1
DEFB123	605825	450	-76	27242	6466	0	1	0	0	50	31	4199667	4.538085e-02	1
C7orf33	473795	593	-4	65614	20564	0	3	0	0	50	19	3079830	4.539694e-02	1
LRFN2	100435	887	20	283338	94764	0	7	1	0	50	28	3634634	4.539963e-02	1
OR5H14	200002	811	-15	115434	32913	0	4	0	0	50	28	3139561	4.568555e-02	1
LAMA4	131437	282	-7	726683	193609	0	8	3	0	50	15	3133890	4.584909e-02	1
PCDHGA3	662513	568	2	345719	111088	0	8	0	0	43	23	3298243	4.586658e-02	1
FAM124A	175682	518	37	214438	66197	0	3	0	0	50	7	2774020	4.620793e-02	1
HRASLS5	887496	459	31	108862	27878	0	2	0	0	50	13	3357073	4.659097e-02	1
UPRT	145779	NaN	-5	118614	33072	0	2	0	0	50	9	2818169	4.670166e-02	1
CD5L	116471	778	28	132500	36676	0	2	0	0	50	9	3245614	4.671301e-02	1
OR5V1	329776	872	7	118614	35139	0	4	0	0	50	23	3267238	4.673009e-02	1
SPATA16	222219	577	-15	222971	55279	0	5	0	0	50	9	2920406	4.681775e-02	1
DEFA6	131884	628	11	38372	10759	0	1	0	0	50	12	2970332	4.682844e-02	1
CCDC62	1009828	184	40	274646	67681	0	2	0	0	50	9	3612586	4.703844e-02	1
KLHL1	4513	1341	-27	285352	78281	0	10	1	0	50	45	3060803	4.717263e-02	1
NTRK3	124519	730	-57	357273	96195	0	10	1	0	35	27	2740948	4.736300e-02	1
ZFP57	484408	755	34	203732	54325	0	3	0	0	50	14	2716886	4.762038e-02	1
NPAS4	1963418	182	55	295581	91902	0	6	1	0	50	8	3124138	4.783087e-02	1
OR5M1	NaN	NaN	NaN	116070	34662	0	3	0	0	50	26	5936954	4.786755e-02	1
RPL31	335036	406	23	56392	15953	0	1	0	0	50	8	3241109	4.791109e-02	1
RGPD3	NaN	NaN	NaN	674796	178557	0	9	0	0	50	26	6080849	4.813380e-02	1
COX7A2L	251919	375	16	43619	12826	0	1	0	0	50	10	2871222	4.821036e-02	1
CCKBR	466636	728	4	159530	56710	0	3	0	0	50	11	3412935	4.858787e-02	1
ATP5G1	757963	239	29	52205	16006	0	1	0	0	50	10	3461748	4.866708e-02	1
TAS2R1	349235	840	-18	110664	32436	0	4	0	0	50	34	2923692	4.877739e-02	1
OR3A1	506514	628	0	113367	37365	0	4	1	0	50	18	3417016	4.890203e-02	1
LTBP2	782985	242	42	693982	197372	0	7	0	0	50	6	3395551	4.890299e-02	1
CYP1B1	716797	384	25	198326	62275	0	2	0	0	50	8	4418027	4.900434e-02	1
MYCT1	188249	600	-9	86867	26659	0	2	1	0	39	15	2775928	4.930757e-02	1
CRYBA2	922162	386	35	76585	20723	0	2	0	0	50	16	2768614	4.980734e-02	1
SLC25A11	1416161	231	30	118190	36517	0	3	0	0	50	9	2781175	4.985873e-02	1
ST8SIA5	292667	608	15	144478	39167	0	4	0	0	50	13	3804340	5.024768e-02	1
CPNE6	992350	355	19	215021	61321	0	2	0	0	50	10	3167757	5.040013e-02	1
OR5R1	NaN	NaN	NaN	119303	35404	0	3	1	0	31	9	2636061	5.062283e-02	1
WWP2	1410481	NaN	42	338299	92114	0	3	0	0	37	7	2779797	5.065564e-02	1
DCAF4L1	272281	261	25	145114	44573	0	2	0	0	50	9	3338735	5.070290e-02	1
SEC22A	338654	421	48	118720	32012	0	4	0	0	50	13	3574426	5.073269e-02	1
PROC	443349	175	30	178557	46905	0	2	0	0	50	13	3063082	5.080976e-02	1
HCK	1039298	386	21	206170	54113	0	4	0	0	50	14	3363857	5.084783e-02	1
ZNF623	2198262	229	33	204209	52258	0	3	0	0	50	9	3217365	5.090980e-02	1
PDE1A	359828	401	-5	221699	55597	0	4	0	0	50	14	3185618	5.104237e-02	1
SLIT2	44181	1366	3	598741	153965	0	12	3	0	50	25	3300575	5.148719e-02	1
TMCO2	627703	373	18	69271	19292	0	2	0	0	50	6	3200352	5.159802e-02	1
TMPRSS11F	211571	812	-6	170607	44838	0	4	1	0	50	21	3181166	5.202154e-02	1
TCEA3	1050778	163	27	137323	35510	0	3	0	0	50	9	3098592	5.216994e-02	1
NR3C1	138106	270	41	301358	83263	0	3	0	0	50	5	3031229	5.218271e-02	1
NIPAL3	604127	325	29	156986	43513	0	2	0	0	50	7	3026300	5.224224e-02	1
SSFA2	180253	346	18	491204	136210	0	5	2	0	50	7	2910548	5.227754e-02	1
EHF	1039672	320	12	121423	27242	0	3	0	0	50	8	2509868	5.237580e-02	1
RAD52	473725	289	44	162922	43937	0	2	0	0	50	7	3192720	5.277197e-02	1
WDR86	608657	190	39	138330	44679	0	2	0	0	50	8	3044691	5.302187e-02	1
ISCA1	311398	417	8	49767	14151	0	1	0	0	50	11	3165213	5.306255e-02	1
ESR1	221347	568	0	225568	63812	0	4	1	0	50	10	2971233	5.321360e-02	1
MRPL45	1101194	504	10	110929	29150	0	3	0	0	50	12	2375195	5.321986e-02	1
MAGEA11	NaN	NaN	NaN	163823	45580	0	3	0	0	50	26	5947872	5.329413e-02	1
WDR12	596746	392	31	167162	42718	0	2	0	0	50	7	3141257	5.338732e-02	1
B2M	673122	428	36	46958	12508	0	1	0	0	50	11	2983264	5.352939e-02	1
LCE3D	285984	752	17	34768	10229	0	1	0	0	50	18	3364069	5.353772e-02	1
NUDT17	NaN	NaN	NaN	122430	39909	0	3	0	0	50	26	5942201	5.359523e-02	1
SERAC1	572602	209	40	255354	67098	0	2	0	0	50	8	2993758	5.374973e-02	1
ZFP42	19937	551	-33	116812	32171	0	5	1	0	23	14	1362259	5.392023e-02	1
MGAT3	812764	467	76	193662	61533	0	3	1	0	50	7	2872494	5.436729e-02	1
RHCG	747784	363	22	183751	51887	0	3	0	0	50	5	4414847	5.440915e-02	1
GRIN2B	153586	825	-10	561376	154601	0	11	2	0	50	25	3428146	5.444472e-02	1
KIF2C	574317	191	43	285246	73776	0	4	1	0	50	15	3040398	5.450348e-02	1
NPY2R	49938	944	-5	140768	42082	0	4	0	0	50	20	2981886	5.489669e-02	1
BNIP2	521844	172	33	168328	45686	0	2	0	0	50	7	3161715	5.499748e-02	1
NADK	1511678	243	30	172091	48124	0	2	0	0	50	5	2772642	5.504400e-02	1
AP1S1	1044715	199	39	62646	15741	0	1	0	0	50	6	2765964	5.525226e-02	1
CXCL13	405364	627	10	43725	11289	0	1	0	0	50	14	3152122	5.525304e-02	1
RPE65	201619	477	-16	209403	53901	0	4	1	0	50	16	3296335	5.551489e-02	1
SNCAIP	142971	684	-6	347203	97997	0	5	0	0	50	14	3619158	5.606611e-02	1
