CCLE Cell Line Name	Primary Cell Line Name	Compound	Target	Doses (uM)	Activity Data (median)	Activity SD	Num Data	FitType	EC50 (uM)	IC50 (uM)	Amax	ActArea
HCC2935_LUNG	HCC2935	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	21.1,16.1,3.30,11.4,7.47,-20,-19,-25	2.57,3.92,3.44,8.17,3.45,10.8,14.9,8.23	8	Sigmoid	0.402578533	8	-22.99098396	0.5445
HCC4006_LUNG	HCC4006	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	9.56,-5.2,8.04,-2.4,-5.2,-9.8,-15,-49	.20,22.5,28.3,2.97,13.0,7.67,21.0,2.21	8	Sigmoid	8.670381391	8	-47.31240845	0.8118
HCC44_LUNG	HCC-44	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	2.30,-5.7,3.55,-1.6,-5.6,-17,-22,-58	.36,8.08,2.14,13.7,2.39,9.96,9.18,21.1	8	Sigmoid	8.560937849	6.621147633	-56.50365448	0.9276
HCC78_LUNG	HCC-78	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.6,3.73,-4.7,-.18,-1.5,3.39,-20,-21	1.79,7.98,15.2,4.41,.32,.34,12.2,13.5	8	Sigmoid	1.725404382	8	-21.48140717	0.3367
HCC827_LUNG	HCC827	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.79,18.1,15.0,-6.5,-5.5,15.8,6.28,-54	7.18,63.5,6.17,7.98,17.3,23.8,21.8,26.0	8	Linear	NA	4.255412994	-54.37147522	0.8091
HS229T_LUNG	Hs 229.T	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.4,-1.4,5.51,-.65,-5.7,-5.0,-13,-14	8.58,1.31,3.41,.94,.20,11.8,22.1,2.76	8	Constant	NA	8	-1.775989056	0.1625
IALM_LUNG	IA-LM	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-21,17.2,.95,25.8,-29,16.0,-14,-37	9.02,4.55,28.1,30.0,2.44,5.42,2.05,9.91	8	Constant	NA	8	-13.62500668	1.0362
KNS62_LUNG	KNS-62	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	27.6,3.11,28.0,11.4,8.51,-9.9,-21,-31	1.77,11.2,7.89,5.35,11.2,9.66,12.8,.56	8	Sigmoid	0.740666747	8	-31.11984825	0.5156
LC1SQSF_LUNG	LC-1/sq-SF	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	9.79,11.4,-5.3,-2.1,-5.7,-3.1,-31,-33	14.3,5.55,13.6,14.2,15.3,.52,9.33,2.07	8	Sigmoid	1.158518553	8	-32.82537079	0.6989
LCLC103H_LUNG	LCLC-103H	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	6.78,12.4,.32,.15,-10,-14,-8.4,-33	6.31,24.2,2.05,3.61,15.4,5.10,8.08,5.01	8	Sigmoid	8.97948292	8	-28.83517838	0.6313
LOUNH91_LUNG	LOU-NH91	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	9.10,14.3,-12,-7.4,-1.2,-4.8,-1.7,-12	7.68,4.24,24.7,7.95,18.3,18.7,15.1,4.77	8	Constant	NA	8	0.931423903	0.3336
LU99_LUNG	LU99	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-.19,-2.8,2.75,4.90,-11,-33,-53,-86	2.58,2.97,13.1,5.34,2.66,7.76,9.18,7.89	8	Sigmoid	2.385369301	1.975981355	-84.59156036	1.5767
LUDLU1_LUNG	LUDLU-1	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	8.31,32.8,-13,26.1,-33,-39,-65,-66	21.8,27.0,9.77,16.6,2.54,2.18,5.51,2.77	8	Linear	NA	1.434306904	-66.70701599	1.9451
MORCPR_LUNG	MOR/CPR	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.5,9.06,-2.0,17.5,2.48,-8.8,-16,-32	6.58,2.75,11.3,20.4,1.44,4.71,14.4,.82	8	Sigmoid	2.852065325	8	-31.44722939	0.4603
NCIH1048_LUNG	NCI-H1048	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	9.79,16.3,4.29,.95,10.3,-11,-5.5,-33	5.23,14.1,3.27,4.16,.91,.51,13.0,5.34	8	Sigmoid	8.624739739	8	-30.66960335	0.798
NCIH1092_LUNG	NCI-H1092	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-23,-22,14.7,1.11,9.64,-9.7,-2.8,-47	.67,6.10,14.1,46.8,13.5,14.9,8.40,6.53	8	Linear	NA	8	-46.18229675	0.5824
NCIH1155_LUNG	NCI-H1155	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	2.62,14.3,21.4,15.5,-5.0,5.82,-27,-52	27.1,32.2,14.8,17.5,1.73,12.6,1.40,4.47	8	Sigmoid	5.338488102	7.266235352	-52.33863831	0.7336
NCIH1184_LUNG	NCI-H1184	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	39.8,-24,-14,16.4,51.9,60.1,56.1,-28	19.3,12.5,33.0,21.7,15.1,41.1,72.4,23.6	8	Linear	NA	8	-26.7315979	0.6452
NCIH1299_LUNG	NCI-H1299	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	18.9,20.2,4.27,-5.7,-4.3,-20,-40,-57	.46,1.84,.38,4.33,10.1,2.12,3.78,4.76	8	Sigmoid	8.595679249	5.331521988	-57.32917404	1.2383
NCIH1339_LUNG	NCI-H1339	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	3.33,2.77,5.01,-1.1,1.20,-7.4,-13,-32	25.1,.63,4.21,1.20,13.6,8.23,12.6,6.51	8	Sigmoid	8.826031258	8	-31.86849213	0.645
NCIH1341_LUNG	NCI-H1341	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.4,41.8,24.8,2.43,-18,-6.9,-51,-80	11.1,8.59,19.6,15.8,9.28,47.9,9.62,16.1	8	Linear	NA	0.334254905	-81.25395203	1.8219
NCIH1355_LUNG	NCI-H1355	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	10.7,4.32,13.9,12.8,-2.8,-29,-25,-52	.20,5.75,3.13,6.02,2.67,2.23,6.94,3.77	8	Sigmoid	0.574009538	4.051389694	-51.67834473	0.9139
NCIH1373_LUNG	NCI-H1373	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	5.98,-4.7,8.40,-3.9,-11,-10,-17,-34	8.21,2.95,6.54,10.7,6.81,12.5,10.5,25.6	8	Sigmoid	9.100987228	8	-32.7531929	0.5229
NCIH1563_LUNG	NCI-H1563	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,6.18,1.46,-2.8,-16,-23,-34,-28	10.7,4.10,13.1,9.14,.43,3.33,5.05,9.10	8	Sigmoid	0.258538127	8	-30.60897446	1.0647
NCIH1568_LUNG	NCI-H1568	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.3,11.8,-14,2.11,-16,-19,-38,-39	3.38,21.0,16.6,15.5,28.2,17.1,2.64,6.88	8	Sigmoid	0.796613753	8	-38.63415146	1.3221
NCIH1573_LUNG	NCI-H1573	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.8,13.8,4.76,8.00,-11,-18,-36,-43	1.42,22.3,12.7,23.6,17.4,.92,3.16,18.6	8	Sigmoid	0.98117429	8	-43.19650269	1.463
NCIH1581_LUNG	NCI-H1581	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	71.2,17.0,-1.9,11.4,3.61,-3.4,15.7,-10	11.1,39.8,13.6,.33,29.8,34.7,39.3,4.63	8	Linear	NA	8	-9.541942596	0.3412
NCIH1648_LUNG	NCI-H1648	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	7.97,-5.1,-4.8,17.3,-2.4,-35,-13,-56	1.04,11.3,8.24,40.8,10.0,.67,26.0,16.4	8	Sigmoid	0.599306762	8	-46.18794632	1.078
NCIH1650_LUNG	NCI-H1650	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	9.38,15.0,-.15,3.92,-1.7,-5.7,-14,-37	21.5,1.17,19.2,15.3,2.28,6.07,2.40,5.00	8	Sigmoid	8.665505701	8	-35.78836441	0.4436
NCIH1651_LUNG	NCI-H1651	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-.96,7.53,-1.8,5.79,-15,-20,-19,-42	3.71,16.9,16.3,10.9,6.77,.82,2.40,5.47	8	Sigmoid	8.714476117	8	-40.37334061	0.8597
NCIH1666_LUNG	NCI-H1666	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	14.4,23.3,28.5,54.0,-6.2,-16,-39,-92	1.50,46.9,19.5,71.1,8.21,12.7,1.66,9.82	8	Sigmoid	8.588242469	3.147583485	-91.49716187	1.0145
NCIH1693_LUNG	NCI-H1693	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	22.5,-8.5,33.0,11.1,-10,-33,-29,-55	4.86,4.90,18.6,17.1,3.48,6.65,3.96,16.4	8	Sigmoid	0.226028889	8	-37.40585327	1.1923
NCIH1694_LUNG	NCI-H1694	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	2.57,-1.7,-4.9,1.75,-15,-17,-16,-44	24.6,25.0,27.9,6.73,2.55,30.3,11.9,9.97	8	Constant	NA	8	-13.58466244	0.8491
NCIH1703_LUNG	NCI-H1703	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	28.6,17.2,30.1,12.9,.19,-13,-25,-22	29.8,3.62,31.5,1.98,8.66,3.40,14.7,8.62	8	Sigmoid	0.410868794	8	-23.1138134	0.7496
NCIH1792_LUNG	NCI-H1792	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.2,3.96,-1.4,4.67,-9.3,-15,-37,-61	4.10,1.00,2.48,5.16,1.21,7.41,2.06,6.10	8	Sigmoid	4.584856987	4.73042202	-61.31596756	1.1488
NCIH1793_LUNG	NCI-H1793	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.16,17.3,-.26,-16,-3.1,-17,-13,-58	8.80,13.0,14.4,7.47,6.30,20.9,4.59,9.51	8	Sigmoid	8.836005767	6.899638653	-56.17079163	0.4367
NCIH1869_LUNG	NCI-H1869	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	18.3,-7.9,4.80,5.14,8.72,-11,-34,-19	22.8,18.8,15.0,17.9,19.4,.54,2.49,.24	8	Sigmoid	0.791251659	8	-26.5145607	0.747
NCIH1915_LUNG	NCI-H1915	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.71,9.61,10.9,-5.7,-12,-14,10.4,-21	1.36,.64,3.65,2.68,3.64,4.93,17.5,.41	8	Sigmoid	0.073968865	8	-14.37284851	0.4139
NCIH1944_LUNG	NCI-H1944	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,-15,-2.4,2.70,-10,-9.3,-19,-45	25.2,4.31,20.9,21.5,10.6,5.61,23.6,8.37	8	Sigmoid	3.08249855	8	-44.80958939	0.2859
NCIH1975_LUNG	NCI-H1975	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	3.95,3.90,-1.5,2.89,-13,-17,-39,-36	5.64,14.4,0,0,10.4,.88,3.45,6.80	8	Sigmoid	0.682324648	8	-39.25634766	1.0222
NCIH2009_LUNG	NCI-H2009	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	4.94,.57,3.91,4.16,-4.8,-9.3,-22,-43	9.74,13.6,20.1,9.84,37.4,.95,13.0,9.94	8	Sigmoid	3.303884745	8	-43.09848404	0.6894
NCIH2023_LUNG	NCI-H2023	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.2,27.1,18.0,-6.9,-20,-36,-39,-70	2.57,1.91,15.3,.57,9.48,13.5,2.74,4.50	8	Sigmoid	0.883609116	2.513386011	-64.40049744	1.4571
NCIH2030_LUNG	NCI-H2030	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.9,-1.3,-6.5,6.99,-3.7,-5.4,-24,-59	2.86,2.19,4.93,5.01,7.11,5.42,8.69,15.3	8	Sigmoid	4.004538536	5.780652523	-58.6107254	0.9753
NCIH2085_LUNG	NCI-H2085	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.7,13.0,-15,16.6,13.8,-1.5,-6.3,-34	10.3,7.97,9.98,20.4,15.7,2.04,12.3,2.64	8	Linear	NA	8	-33.8833847	0.4646
NCIH2087_LUNG	NCI-H2087	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	.82,6.34,3.44,2.42,-13,-11,-10,-53	2.60,9.17,8.34,6.48,2.46,6.25,2.29,10.8	8	Sigmoid	8.796221481	7.722693443	-51.68109894	0.7475
NCIH211_LUNG	NCI-H211	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.6,.57,9.83,7.28,1.77,-31,-28,-85	5.13,12.8,6.42,3.52,18.2,13.3,12.1,10.6	8	Sigmoid	1.732289076	1.58294487	-90.64550018	1.4213
NCIH2122_LUNG	NCI-H2122	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-19,12.1,7.21,6.93,-22,-14,-74,-80	2.02,4.01,26.2,6.42,1.82,9.30,12.2,7.27	8	Linear	NA	0.136573295	-82.13034821	1.71
NCIH2170_LUNG	NCI-H2170	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	12.5,-5.0,25.5,2.64,.14,-19,-15,-46	34.3,5.76,22.4,4.11,22.4,3.85,20.8,5.39	8	Linear	NA	8	-45.14984131	0.9193
NCIH2172_LUNG	NCI-H2172	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,-36,-13,-53,-4.4,-26,-31,-65	3.43,2.40,55.6,32.1,12.7,31.4,24.1,.13	8	Constant	NA	8	-33.24750519	0.4366
NCIH2228_LUNG	NCI-H2228	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.7,5.76,1.13,11.1,-7.3,-17,-21,-49	1.79,14.3,2.68,15.2,8.32,12.3,17.1,19.8	8	Sigmoid	2.305627823	8	-41.68403244	0.7983
NCIH226_LUNG	NCI-H226	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,20.6,-15,19.5,-26,-9.7,-39,-13	9.27,11.5,3.41,5.78,3.18,4.09,3.47,14.6	8	Constant	NA	8	-12.53730202	0.6322
NCIH2286_LUNG	NCI-H2286	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-.55,7.16,1.35,4.88,-13,-7.0,-17,-40	2.47,5.48,5.47,1.43,9.80,16.8,7.26,1.89	8	Sigmoid	8.528434964	8	-38.65135193	0.8707
NCIH23_LUNG	NCI-H23	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-13,-.52,-14,7.68,-13,-25,-40,-60	11.5,9.04,19.8,14.3,2.21,6.31,.92,11.2	8	Sigmoid	2.453845739	4.463423729	-58.20860672	1.3268
NCIH2444_LUNG	NCI-H2444	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,1.06,-20,10.8,-9.1,-5.3,-13,-24	21.1,.15,1.58,.17,10.6,11.6,16.2,8.63	8	Constant	NA	8	-7.564731598	0.5609
NCIH322_LUNG	NCI-H322	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.5,-3.5,-7.6,-.23,-7.9,-12,-43,-82	13.0,22.8,5.49,15.1,5.80,3.14,5.19,2.49	8	Sigmoid	2.769809246	2.894480705	-81.63601685	1.1076
NCIH3255_LUNG	NCI-H3255	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,2.07,15.3,-4.6,-8.6,-7.4,-44,-93	4.59,2.20,14.4,5.77,4.66,13.8,8.99,1.04	8	Sigmoid	3.079784632	2.828068733	-93.27764893	1.4275
NCIH358_LUNG	NCI-H358	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	9.80,5.37,-.47,1.73,-1.9,-9.9,-31,-53	4.97,5.90,7.04,3.26,10.0,1.89,4.16,1.67	8	Sigmoid	8.020733493	6.799887657	-53.71779633	1.0482
NCIH441_LUNG	NCI-H441	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.64,1.24,.69,.66,-8.0,-26,-37,-54	1.51,5.29,2.74,1.39,13.7,2.41,8.37,1.85	8	Sigmoid	0.956509531	4.720984459	-53.72599411	1.1125
NCIH460_LUNG	NCI-H460	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.5,12.3,-11,-1.6,-5.7,-13,-16,-64	4.26,20.8,5.47,5.53,15.6,1.89,1.32,22.6	8	Sigmoid	8.602921237	6.268196106	-63.54943848	1.0809
NCIH520_LUNG	NCI-H520	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	15.3,-13,-.26,2.93,-9.6,-17,-1.9,-40	2.48,11.0,4.40,2.82,16.0,1.73,13.2,5.36	8	Sigmoid	4.590585709	8	-35.85561752	0.535
NCIH522_LUNG	NCI-H522	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	23.6,19.1,4.67,2.26,-12,-8.2,-28,-10	6.40,18.5,15.8,2.72,.38,10.3,1.35,8.08	8	Sigmoid	0.067597941	8	-18.14593124	0.6383
NCIH647_LUNG	NCI-H647	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	34.3,15.3,9.39,7.35,8.99,-24,16.1,-6.5	31.6,4.11,3.57,13.7,8.16,6.82,5.92,4.31	8	Constant	NA	8	11.977355	0.3716
NCIH650_LUNG	NCI-H650	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	7.42,1.90,6.39,-5.3,-5.1,-19,-22,-53	9.49,1.99,15.8,6.95,30.5,12.8,8.55,11.8	8	Sigmoid	8.621075096	7.875080109	-50.37211227	0.7852
NCIH661_LUNG	NCI-H661	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	.12,-4.8,11.6,10.8,-.032,-12,-43,-53	3.10,6.28,2.79,8.50,8.65,15.8,58.4,69.4	8	Sigmoid	1.21559453	1.165132165	-99.62536621	1.0875
NCIH727_LUNG	NCI-H727	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	7.84,11.0,15.0,2.62,-5.4,-13,-50,-76	.53,28.4,26.8,21.7,15.6,21.3,44.5,40.5	8	Sigmoid	1.50955832	1.014342308	-103.4415741	1.3035
NCIH810_LUNG	NCI-H810	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.7,-3.9,3.06,-.080,-18,-20,-37,-61	1.76,4.12,9.96,18.1,9.01,19.0,2.55,22.9	8	Sigmoid	9.08217803	2.855264425	-72.08450317	1.3572
PC14_LUNG	PC-14	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.7,.99,-5.8,-8.1,-17,-16,-43,-98	2.63,.92,4.84,2.19,7.36,.035,10.0,1.20	8	Sigmoid	9.002650836	3.168638706	-97.88244629	1.5768
RERFLCAI_LUNG	RERF-LC-AI	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	4.11,9.29,1.77,7.22,2.40,-7.2,-14,-56	2.83,1.19,3.44,5.52,3.74,4.50,3.35,1.55	8	Sigmoid	8.859516131	7.204105377	-55.11027527	0.675
RERFLCMS_LUNG	RERF-LC-MS	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	6.56,-2.0,-.91,-8.0,4.08,-10,-25,-32	.90,1.97,19.4,5.17,13.9,.85,1.65,20.0	8	Sigmoid	1.228227973	8	-30.86660767	0.4693
SBC5_LUNG	SBC-5	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.65,-2.3,.41,-4.4,-6.4,-16,-18,-76	2.31,19.5,5.69,18.7,.029,23.1,.81,14.6	8	Sigmoid	9.255597329	5.445501804	-75.43505096	0.6521
SHP77_LUNG	SHP-77	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	7.98,-3.6,-14,6.15,.90,11.6,-6.5,.68	16.4,1.42,2.11,5.93,5.37,16.0,4.07,8.74	8	Constant	NA	8	-2.645827055	0.1697
SKLU1_LUNG	SK-LU-1	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.7,-1.5,13.7,-2.2,-4.3,-18,-8.3,-54	16.4,1.99,15.3,22.3,3.52,6.65,4.09,2.93	8	Sigmoid	8.71225117	7.528018475	-53.36287689	1.1
SKMES1_LUNG	SK-MES-1	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	31.6,10.9,3.41,-4.3,6.50,-13,-63,-102	1.58,11.3,2.91,9.16,4.72,1.90,10.9,.0093	8	Sigmoid	2.085588217	1.964178443	-102.1906967	1.921
SQ1_LUNG	Sq-1	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	.30,7.74,.82,1.81,-11,-6.1,-35,-47	22.6,19.0,22.5,13.5,13.5,7.43,9.20,.49	8	Sigmoid	1.780188441	8	-47.30302429	1.0544
SW1271_LUNG	SW 1271	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.07,-6.4,6.03,-9.6,-4.2,-9.9,-23,-84	13.4,11.5,2.01,.78,11.9,.23,8.86,2.96	8	Sigmoid	8.345316455	4.892797947	-83.49832916	1.2973
SW1573_LUNG	SW 1573	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	5.95,3.37,-1.7,-4.7,-12,-19,-50,-70	5.43,2.35,2.69,4.93,2.60,5.98,1.65,3.66	8	Sigmoid	4.177634716	2.993928194	-70.77147675	1.3222
SW900_LUNG	SW 900	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	1.84,2.31,-2.4,11.0,-4.7,-8.1,-8.7,-25	15.3,6.15,5.38,.24,2.57,20.4,3.89,2.89	8	Sigmoid	8.343230145	8	-25.02145958	0.3003
T3M10_LUNG	T3M-10	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.4,6.17,12.4,-3.3,-2.7,2.26,-2.2,-20	12.9,6.81,1.08,7.63,.10,16.6,1.31,.87	8	Sigmoid	8.772243103	8	-19.60083389	0.181
VMRCLCD_LUNG	VMRC-LCD	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	16.2,-2.9,17.7,-7.2,22.1,-21,-24,-35	.22,29.9,29.9,6.54,25.3,.13,17.9,4.85	8	Sigmoid	0.644882143	8	-30.59733772	1.2253
