CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
NCIH1650_LUNG	NCI-H1650	H1650	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B09_383752	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890	yes	yes
NCIH1651_LUNG	NCI-H1651	H1651	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G01_436506	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200	yes	yes
NCIH1666_LUNG	NCI-H1666	H1666	F	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G07_436502	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202	yes	yes
NCIH1693_LUNG	NCI-H1693	H1693	F	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F11_454698	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F07_437440	yes	yes
NCIH1703_LUNG	NCI-H1703	H1703	M	lung	carcinoma	adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E03_296090	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220	yes	yes
NCIH1734_LUNG	NCI-H1734	H1734	F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G10_436496	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256	yes	yes
NCIH1755_LUNG	NCI-H1755	H1755	F	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F08_454692	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556	yes	yes
NCIH1781_LUNG	NCI-H1781	H1781	F	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G04_296140	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C03_335240	yes	yes
NCIH1792_LUNG	NCI-H1792	H1792	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D04_383692	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308	yes	yes
NCIH1793_LUNG	NCI-H1793	H1793	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B10_383746	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058	yes	yes
NCIH1838_LUNG	NCI-H1838	H1838	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E04_454658	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626	yes	yes
NCIH1944_LUNG	NCI-H1944	H1944	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B11_474698	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C10_464560	yes	yes
NCIH1975_LUNG	NCI-H1975	H1975	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H03_241022	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034	yes	yes
NCIH2009_LUNG	NCI-H2009	H2009	F	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A04_474636	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A12_592882	yes	yes
NCIH2023_LUNG	NCI-H2023	H2023	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A10_454768	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F09_464670	yes	yes
NCIH2030_LUNG	NCI-H2030	H2030	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E08_240960	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764	yes	yes
NCIH2073_LUNG	NCI-H2073	H2073	F	lung	carcinoma	adenocarcinoma		ATCC		BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H02_464642	yes	yes
NCIH2085_LUNG	NCI-H2085	H2085	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D11_436570	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B12_464582	yes	
NCIH2087_LUNG	NCI-H2087	H2087	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D09_436574	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292	yes	yes
NCIH2106_LUNG	NCI-H2106	H2106	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H12_302140	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E12_437258	yes	yes
NCIH2110_LUNG	NCI-H2110	H2110		lung	carcinoma	non_small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C05_569446	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B05_578308	yes	yes
NCIH2122_LUNG	NCI-H2122	H2122	F	lung	carcinoma	adenocarcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G02_240996	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662	yes	yes
NCIH2126_LUNG	NCI-H2126	H2126	M	lung	carcinoma	adenocarcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B02_523522	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G09_542892	yes	yes
NCIH2172_LUNG	NCI-H2172	H2172	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G09_569586	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A12_335210	yes	yes
NCIH2228_LUNG	NCI-H2228	H2228	F	lung	carcinoma	adenocarcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C10_241108	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D06_256084	yes	yes
NCIH2291_LUNG	NCI-H2291	H2291	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H10_436434	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224	yes	yes
NCIH2342_LUNG	NCI-H2342	H2342	M	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G11_436494	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228	yes	yes
NCIH2347_LUNG	NCI-H2347	H2347	F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_D01_436528	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206	yes	yes
NCIH23_LUNG	NCI-H23	H23	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D08_454648	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410	yes	yes
NCIH2405_LUNG	NCI-H2405	H2405	M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B12_474708	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340	yes	yes
NCIH2444_LUNG	NCI-H2444	H2444	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D12_257692	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F09_256138	yes	yes
NCIH322_LUNG	NCI-H322	H322 | NCI-H322M	M	lung	carcinoma	adenocarcinoma	Identical lines: NCI-H322 and NCI-H3255 share high SNP identity	ECACC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H05_436448	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A09_437570	yes	
NCIH3255_LUNG	NCI-H3255	H3255	F	lung	carcinoma	adenocarcinoma	Identical lines: NCI-H322 and NCI-H3255 share high SNP identity	Academic Lab	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C07_779624	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C12_780296	yes	yes
NCIH358_LUNG	NCI-H358	H358	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B06_383736	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254	yes	yes
NCIH441_LUNG	NCI-H441	H441	M	lung	carcinoma	adenocarcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E05_240954	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316	yes	yes
NCIH522_LUNG	NCI-H522	H522	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B08_296028	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214	yes	yes
NCIH650_LUNG	NCI-H650	H650	M	lung	carcinoma	bronchioloalveolar_adenocarcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G12_569550	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312	yes	yes
NCIH838_LUNG	NCI-H838	H838	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F11_698878	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196	yes	yes
NCIH854_LUNG	NCI-H854	H854		lung	carcinoma	adenocarcinoma		KCLB	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_A12_587660	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B10_698628	yes	yes
PC14_LUNG	PC-14			lung	carcinoma	non_small_cell_carcinoma		RIKEN	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G01_241186	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B03_335216	yes	yes
RERFLCAD1_LUNG	RERF-LC-Ad1		M	lung	carcinoma	adenocarcinoma		HSRRB	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D07_296074	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C09_293344	yes	yes
RERFLCAD2_LUNG	RERF-LC-Ad2		M	lung	carcinoma	adenocarcinoma		HSRRB	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_C08_436518	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_G01_437428	yes	yes
RERFLCKJ_LUNG	RERF-LC-KJ		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F10_454704	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C08_464564	yes	yes
RERFLCMS_LUNG	RERF-LC-MS			lung	carcinoma	non_small_cell_carcinoma		HSRRB	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G12_241208	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D12_293374	yes	yes
SKLU1_LUNG	SK-LU-1		F	lung	carcinoma	adenocarcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E06_241148	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G09_256162	yes	yes
VMRCLCD_LUNG	VMRC-LCD		M	lung	carcinoma	adenocarcinoma		HSRRB	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_A12_779714	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C12_293350	yes	yes
