CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
NCIH2106_LUNG	NCI-H2106	H2106	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H12_302140	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E12_437258	yes	yes
NCIH2110_LUNG	NCI-H2110	H2110		lung	carcinoma	non_small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C05_569446	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B05_578308	yes	yes
NCIH2170_LUNG	NCI-H2170	H2170	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D09_257686	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G02_256148	yes	yes
NCIH2172_LUNG	NCI-H2172	H2172	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G09_569586	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A12_335210	yes	yes
NCIH226_LUNG	NCI-H226	H226	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G06_436504	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F02_437454	yes	yes
NCIH23_LUNG	NCI-H23	H23	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D08_454648	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E03_437410	yes	yes
NCIH2444_LUNG	NCI-H2444	H2444	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D12_257692	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F09_256138	yes	yes
NCIH520_LUNG	NCI-H520	H520	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D02_241116	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780	yes	yes
NCIH522_LUNG	NCI-H522	H522	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B08_296028	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214	yes	yes
NCIH838_LUNG	NCI-H838	H838	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F11_698878	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196	yes	yes
PC14_LUNG	PC-14			lung	carcinoma	non_small_cell_carcinoma		RIKEN	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G01_241186	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B03_335216	yes	yes
RERFLCAI_LUNG	RERF-LC-AI		M	lung	carcinoma	squamous_cell_carcinoma		RIKEN	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C12_241112	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E07_246718	yes	yes
RERFLCKJ_LUNG	RERF-LC-KJ		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F10_454704	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C08_464564	yes	yes
RERFLCMS_LUNG	RERF-LC-MS			lung	carcinoma	non_small_cell_carcinoma		HSRRB	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G12_241208	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D12_293374	yes	yes
RERFLCSQ1_LUNG	RERF-LC-Sq1		F	lung	carcinoma	squamous_cell_carcinoma		HSRRB	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E07_240958	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A09_437332	yes	yes
SKMES1_LUNG	SK-MES-1		M	lung	carcinoma	squamous_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D01_241114	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H06_293458	yes	yes
SQ1_LUNG	Sq-1			lung	carcinoma	squamous_cell_carcinoma		RIKEN	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D10_257688	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F12_256144	yes	yes
SW1573_LUNG	SW 1573		F	lung	carcinoma	squamous_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H01_569452	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B04_335218	yes	yes
SW900_LUNG	SW 900		M	lung	carcinoma	squamous_cell_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E08_241152	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H10_246796	yes	yes
VMRCLCP_LUNG	VMRC-LCP			lung	carcinoma	squamous_cell_carcinoma		HSRRB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E11_698908	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C01_335236	yes	yes
